scenario,ensemble,theta_deg,A2460,B2460,G2460,A2536,B2536,G2536,abs_ratio_G2460_over_G2536
legacy_chi_condensate,theta_fixed,35.3,-0.15184912772535988,-0.3135345946898636,-0.4653837224152235,-0.20950499454380705,0.2168615109625257,0.0073565164187186505,63.261426458731876
legacy_chi_condensate,theta_fixed,35.3,-0.10145342295705882,-0.23984396464163082,-0.34129738759868966,-0.14718139886865103,0.17443352191960748,0.02725212305095645,12.523699051282222
legacy_chi_condensate,theta_fixed,35.3,-0.10222322130734118,-0.2314971440698417,-0.33372036537718286,-0.11944211407629661,0.13560274773796527,0.016160633661668658,20.650202978657504
legacy_chi_condensate,theta_fixed,35.3,-0.1112350786434465,-0.2598084374106981,-0.3710435160541446,-0.14871412597439299,0.17413202111765083,0.025417895143257846,14.597727859167943
legacy_chi_condensate,theta_fixed,35.3,-0.1355216939694941,-0.29344673704700064,-0.42896843101649473,-0.20165592469920926,0.21890031300532853,0.017244388306119268,24.875827625864403
legacy_chi_condensate,theta_fixed,35.3,-0.14047143973439835,-0.2867709535930359,-0.42724239332743424,-0.19758905730791537,0.2022203925755261,0.0046313352676107256,92.25037027989677
legacy_chi_condensate,theta_fixed,35.3,-0.12303494289570105,-0.2695537719402308,-0.39258871483593183,-0.16312693295839054,0.17916680341851315,0.01603987046012262,24.4758033309535
legacy_chi_condensate,theta_fixed,35.3,-0.16785285199208774,-0.3269143073913456,-0.4947671593834333,-0.18899302306972807,0.18452954383210524,-0.0044634792376228305,110.84786845495387
legacy_chi_condensate,theta_fixed,35.3,-0.18069792282980993,-0.37511923571615285,-0.5558171585459628,-0.16777182099337612,0.17460236667398954,0.00683054568061342,81.37229213230991
legacy_chi_condensate,theta_fixed,35.3,-0.1574016285279769,-0.3194925208502599,-0.4768941493782368,-0.1837136504202899,0.18694240884408297,0.003228758423793082,147.7020225062211
legacy_chi_condensate,theta_fixed,35.3,-0.13719403373525121,-0.29190455033555296,-0.42909858407080415,-0.1748204175317551,0.18647161234040746,0.011651194808652371,36.8287193818224
legacy_chi_condensate,theta_fixed,35.3,-0.11860008650027541,-0.2667236056805305,-0.3853236921808059,-0.1847419805361201,0.20828451148931112,0.023542530953191032,16.367131169836178
legacy_chi_condensate,theta_fixed,35.3,-0.15506629496501959,-0.3093725852337171,-0.4644388801987367,-0.171353118912803,0.17138442943342508,3.131052062207984e-05,14833.317075897467
legacy_chi_condensate,theta_fixed,35.3,-0.12850467610465038,-0.28736470489877863,-0.415869381003429,-0.1447751731488214,0.16230186876211056,0.01752669561328915,23.72776878079101
legacy_chi_condensate,theta_fixed,35.3,-0.17536051663169844,-0.3486852046547102,-0.5240457212864087,-0.1789140169636179,0.17834502673367422,-0.0005689902299436667,921.0100520325143
legacy_chi_condensate,theta_fixed,35.3,-0.09568176826706874,-0.2183571956827228,-0.3140389639497915,-0.14656978925975286,0.1676863500922939,0.021116560832541043,14.871690823150104
legacy_chi_condensate,theta_fixed,35.3,-0.16081535074890738,-0.3087248058321439,-0.4695401565810513,-0.28356534016469476,0.2729053838438227,-0.010659956320872077,44.04709948592349
legacy_chi_condensate,theta_fixed,35.3,-0.09572938621572413,-0.2325840333754533,-0.32831341959117744,-0.13056868054898646,0.15903348343824578,0.028464802889259316,11.534013457548326
legacy_chi_condensate,theta_fixed,35.3,-0.11225503267416331,-0.2658648348875017,-0.378119867561665,-0.12731761952824958,0.1511675313351147,0.02384991180686513,15.854141123189573
legacy_chi_condensate,theta_fixed,35.3,-0.12067826349264434,-0.27021063753897995,-0.39088890103162427,-0.16810746061982643,0.18870148196423117,0.020594021344404745,18.980698062538725
legacy_chi_condensate,theta_fixed,35.3,-0.11046533093070489,-0.26413584039616855,-0.37460117132687343,-0.14636128913006116,0.17544560585240065,0.029084316722339493,12.87983399792729
legacy_chi_condensate,theta_fixed,35.3,-0.10002345040093477,-0.2391323195912577,-0.33915576999219244,-0.11246619881864417,0.13479487946786156,0.02232868064921739,15.18924361543411
legacy_chi_condensate,theta_fixed,35.3,-0.13277376873192148,-0.2982735141275523,-0.4310472828594738,-0.1568791312054723,0.17667801728009955,0.019798886074627237,21.77128961875646
legacy_chi_condensate,theta_fixed,35.3,-0.11973688888516813,-0.2600834199314418,-0.37982030881660994,-0.16301273584243395,0.17750932267927005,0.014496586836836106,26.200671447121554
legacy_chi_condensate,theta_fixed,35.3,-0.16412706292189125,-0.3201187632209023,-0.48424582614279355,-0.19156215211749583,0.1873076750145773,-0.004254477102918541,113.82029199560255
legacy_chi_condensate,theta_fixed,35.3,-0.1416003411853236,-0.3082786746235664,-0.44987901580889,-0.15673113078174228,0.17106036069504332,0.014329229913301045,31.39589625757151
legacy_chi_condensate,theta_fixed,35.3,-0.12484973397617789,-0.27082982720340015,-0.39567956117957803,-0.13785503763857893,0.149915468257489,0.012060430618910073,32.80807905475405
legacy_chi_condensate,theta_fixed,35.3,-0.16772707718531216,-0.3361892240463869,-0.5039163012316991,-0.2054736526995338,0.20646749293182382,0.0009938402322900164,507.0395470613724
legacy_chi_condensate,theta_fixed,35.3,-0.140396236081918,-0.28796186636752835,-0.4283581024494464,-0.18658745987354974,0.19185666916996288,0.005269209296413141,81.2945697072687
legacy_chi_condensate,theta_fixed,35.3,-0.15817977742907374,-0.32335177763414574,-0.4815315550632195,-0.19392772980795744,0.1987371874285389,0.004809457620581464,100.12180022183088
legacy_chi_condensate,theta_fixed,35.3,-0.15551384301048968,-0.3322694134996443,-0.487783256510134,-0.16109765621962224,0.17255417288870856,0.011456516669086314,42.576925482624546
legacy_chi_condensate,theta_fixed,35.3,-0.151705479841561,-0.30481453831850763,-0.4565200181600686,-0.20387492469965754,0.20535872315650758,0.0014837984568500384,307.66982945191677
legacy_chi_condensate,theta_fixed,35.3,-0.14344810978022632,-0.33500916207274883,-0.47845727185297515,-0.15056907247129342,0.17628386463582554,0.025714792164532124,18.6063052266431
legacy_chi_condensate,theta_fixed,35.3,-0.154138052850685,-0.3094573772274865,-0.4635954300781715,-0.1707783258293085,0.17188526847723365,0.0011069426479251576,418.80709081643045
legacy_chi_condensate,theta_fixed,35.3,-0.1267774285221626,-0.2825988322567953,-0.40937626077895783,-0.1572050134988007,0.17567491404491947,0.018469900546118773,22.164508128062625
legacy_chi_condensate,theta_fixed,35.3,-0.114847484466004,-0.25340679500732943,-0.36825427947333345,-0.19774355725436799,0.21873286658546098,0.020989309331092998,17.544849793023513
legacy_chi_condensate,theta_fixed,35.3,-0.1425431364310467,-0.29859949994686713,-0.44114263637791384,-0.15665101776269083,0.16450947618781106,0.00785845842512023,56.136027260482024
legacy_chi_condensate,theta_fixed,35.3,-0.12887691919171593,-0.28171658619770573,-0.41059350538942163,-0.17707757002262361,0.19405094324596942,0.0169733732233458,24.190448179427072
legacy_chi_condensate,theta_fixed,35.3,-0.18577037121160944,-0.35760555572537106,-0.5433759269369804,-0.19078901287757824,0.1841179380472335,-0.0066710748303447365,81.45253062749721
legacy_chi_condensate,theta_fixed,35.3,-0.1534022035667703,-0.32544443508837767,-0.478846638655148,-0.152761858513579,0.162470724881416,0.009708866367836994,49.320550980230315
