sector,scenario,ensemble,window_id,M2,s0,theta_deg,f1_GeV,f2_GeV,normalization_scheme,two_point_M2_GeV2,two_point_s0_mix_GeV2,two_point_s01_GeV2,two_point_s02_GeV2,GA_basis,GB_basis,chi_effective,fperp_s_used_GeV,state,state_key,g_GeV_inv,g_A_component_GeV_inv,g_B_component_GeV_inv,interference,Gamma_keV,rho_AB,g_low_GeV_inv,g_high_GeV_inv,quoted_combo
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.46274284969274,8.299360623374701,24.75520129243866,0.39106404463568617,0.1524180474639051,AA_AB_BB_two_point_LO_d3_d5,2.672829561332776,9.57316843684174,7.95,8.975,-0.3031689601287843,-0.2512596188185122,3.6023603700467826,-0.0630775748633774,D_{s1}(2536),Ds1_2536,-0.07741162630612722,-0.38946726634565676,0.3120556400395295,destructive,1.8598058692934978,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.029233477177695,7.915032488668273,27.23338908371869,0.41404249774640894,0.15470160662204596,AA_AB_BB_two_point_LO_d3_d5,2.443463238807913,10.367735861540247,8.125,9.575,-0.6505952562996478,-0.36584950640857544,3.115796514445893,-0.03706053960350954,D_{s1}(2460),Ds1_2460,-0.46731453970065057,-0.12877286086366838,-0.3385416788369822,constructive,45.877808065162526,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.029233477177695,7.915032488668273,27.23338908371869,0.41404249774640894,0.15470160662204596,AA_AB_BB_two_point_LO_d3_d5,2.443463238807913,10.367735861540247,8.125,9.575,-0.6505952562996478,-0.36584950640857544,3.115796514445893,-0.03706053960350954,D_{s1}(2536),Ds1_2536,-0.2033253472748023,-0.6696502726984014,0.46632492542359905,destructive,12.824641031018105,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.0053004365203244,7.762437875894651,25.39206064856905,0.4268745572533993,0.1719244965223862,AA_AB_BB_two_point_LO_d3_d5,2.5375058753619464,9.340451045673358,8.175,9.775,-0.4379403850932847,-0.2706022254675284,3.5965505148658528,-0.042357597994301076,D_{s1}(2460),Ds1_2460,-0.4147117092863775,-0.10542721077139205,-0.3092844985149855,constructive,36.122862482938245,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.0053004365203244,7.762437875894651,25.39206064856905,0.4268745572533993,0.1719244965223862,AA_AB_BB_two_point_LO_d3_d5,2.5375058753619464,9.340451045673358,8.175,9.775,-0.4379403850932847,-0.2706022254675284,3.5965505148658528,-0.042357597994301076,D_{s1}(2536),Ds1_2536,-0.18696888336824094,-0.5514776474749807,0.36450876410673977,destructive,10.846441408771307,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.2801874300148937,7.778303529580849,26.203144864604965,0.42855556184361493,0.16724955211022338,AA_AB_BB_two_point_LO_d3_d5,2.3772089307235884,10.545303235870515,8.325,9.75,-0.546978201667219,-0.3315758750153669,3.0731582087821647,-0.03745786076467143,D_{s1}(2460),Ds1_2460,-0.44627714600755575,-0.12248968057858652,-0.32378746542896925,constructive,42.01081680820693,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.2801874300148937,7.778303529580849,26.203144864604965,0.42855556184361493,0.16724955211022338,AA_AB_BB_two_point_LO_d3_d5,2.3772089307235884,10.545303235870515,8.325,9.75,-0.546978201667219,-0.3315758750153669,3.0731582087821647,-0.03745786076467143,D_{s1}(2536),Ds1_2536,-0.22946592521610729,-0.6377677521228781,0.4083018269067708,destructive,16.340716669574224,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.269001939177655,8.31415520068951,26.929117930571277,0.44407099875272077,0.16828179765795148,AA_AB_BB_two_point_LO_d3_d5,2.338380123660149,10.238965779402106,8.475,9.675,-0.7133379116142591,-0.4285720894626882,3.1760708282874517,-0.02340413549375953,D_{s1}(2460),Ds1_2460,-0.5450811610240789,-0.15110689865055743,-0.39397426237352146,constructive,62.29712811392663,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.269001939177655,8.31415520068951,26.929117930571277,0.44407099875272077,0.16828179765795148,AA_AB_BB_two_point_LO_d3_d5,2.338380123660149,10.238965779402106,8.475,9.675,-0.7133379116142591,-0.4285720894626882,3.1760708282874517,-0.02340413549375953,D_{s1}(2536),Ds1_2536,-0.2568839918446061,-0.7849881446776641,0.528104152833058,destructive,20.482443955669574,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.9949179928613416,8.307560548062536,26.400950937675386,0.45954429200604935,0.18142123358855905,AA_AB_BB_two_point_LO_d3_d5,2.0885114885683693,9.741957731813981,8.875,11.5,-0.45298739988676817,-0.2728929514295134,3.2676183680150444,-0.046953708335962435,D_{s1}(2460),Ds1_2460,-0.38863497709911177,-0.10289389637474482,-0.2857410807243669,constructive,31.893937557378205,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.9949179928613416,8.307560548062536,26.400950937675386,0.45954429200604935,0.18142123358855905,AA_AB_BB_two_point_LO_d3_d5,2.0885114885683693,9.741957731813981,8.875,11.5,-0.45298739988676817,-0.2728929514295134,3.2676183680150444,-0.046953708335962435,D_{s1}(2536),Ds1_2536,-0.16571233088410137,-0.5250192547125804,0.359306923828479,destructive,8.51429352967388,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.3740929681345926,8.280655575639026,26.201275654275967,0.39146565915655607,0.17579332562382008,AA_AB_BB_two_point_LO_d3_d5,2.004529930967324,10.053009961769584,7.5,10.725,-0.5931620171407319,-0.32748315096210157,3.487125201359944,-0.038601270607853184,D_{s1}(2460),Ds1_2460,-0.5098741129745502,-0.13649004349376392,-0.37338406948078634,constructive,54.36405708904757,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.3740929681345926,8.280655575639026,26.201275654275967,0.39146565915655607,0.17579332562382008,AA_AB_BB_two_point_LO_d3_d5,2.004529930967324,10.053009961769584,7.5,10.725,-0.5931620171407319,-0.32748315096210157,3.487125201359944,-0.038601270607853184,D_{s1}(2536),Ds1_2536,-0.20850176993040348,-0.6176591864925095,0.4091574165621061,destructive,13.481869944987702,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.430934532965879,7.929396058786185,25.27632547138111,0.4556117389245956,0.18312109483501254,AA_AB_BB_two_point_LO_d3_d5,2.409540461847571,9.472359456738328,8.4,10.15,-0.6018277818838637,-0.350688997768156,2.954448452546857,-0.03275196300640927,D_{s1}(2460),Ds1_2460,-0.4575234324463064,-0.12230854835034541,-0.33521488409596095,constructive,43.781043237937645,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.430934532965879,7.929396058786185,25.27632547138111,0.4556117389245956,0.18312109483501254,AA_AB_BB_two_point_LO_d3_d5,2.409540461847571,9.472359456738328,8.4,10.15,-0.6018277818838637,-0.350688997768156,2.954448452546857,-0.03275196300640927,D_{s1}(2536),Ds1_2536,-0.25063662921516333,-0.6444575861888492,0.3938209569736858,destructive,19.50390539284956,,,,
