M2,s0_root,GA,GB,GB_em,G2460,G2536,Gamma2460_keV,Gamma2536_keV,theta_deg
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.42806081559074793,-0.1282810254817548,38.51640094128202,5.106519677092337,36.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4285059920409171,-0.12678603285810489,38.59655548994688,4.98819002516213,37.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.42894594728080143,-0.12528949538665587,38.67585180961387,4.871127349845033,37.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4293806759496853,-0.12379143130224443,38.75428603549228,4.755337356610683,37.400000000000006
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.429810172750537,-0.1222918588583089,38.831854344808555,4.640825688900013,37.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4302344324500734,-0.12079079632666609,38.908552956992715,4.52759792785014,37.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4306534498788243,-0.1192882619972892,38.98437813386268,4.4156595920223936,38.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.43106721993119435,-0.11778427417808501,39.05932617980625,4.305016137133353,38.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.431475737565526,-0.11627885119467044,39.1333934419614,4.195672955788912,38.400000000000006
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.43187899780416084,-0.11477201139014942,39.2065763103943,4.087635377221464,38.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.43227699573350015,-0.11326377312488947,39.278871218275135,3.9809086670301785,38.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.43266972650406477,-0.11175415477629788,39.350274642052135,3.8754980269243346,39.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4330571853305542,-0.11024317473859768,39.42078310162315,3.771408594469812,39.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4334393674919049,-0.10873085142260397,39.490393160505334,3.668645442838712,39.400000000000006
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4338162683313478,-0.10721720325549905,39.5591014260026,3.5672135805620653,39.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4341878832564652,-0.10570224868060824,39.62690454937104,3.467117951285745,39.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.43455420773924636,-0.10418600615717477,39.69379922598207,3.3683634335294967,40.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4349152373161433,-0.10266849416013532,39.75978219548354,3.270954840449196,40.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.43527096758812434,-0.10114973117989476,39.824850241958586,3.174896919602253,40.400000000000006
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.43562139422072854,-0.09962973572210082,39.88900019408244,3.080194352716218,40.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4359665129441178,-0.09810852630741818,39.95222892527691,2.986851755460577,40.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4363063195531295,-0.09658612147130372,40.01453335386286,2.894873677221849,41.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.43664080990732734,-0.09506253976377979,40.07591044321034,2.8042646008817953,41.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4369699799310519,-0.09353779974920876,40.1363572018866,2.715028942598973,41.400000000000006
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4372938256134703,-0.09201192000606656,40.19587068380189,2.627171051593475,41.6
