sector,M2,s0,state,g_low,g_high,g_quoted,Gamma_low_keV,Gamma_high_keV,Gamma_quoted_keV,GA_basis,GB_basis,GB_hard_frac,GB_soft2p_frac,GB_3p_frac,GA_3p_frac,spectral_pole_axial,spectral_pole_tensor,twist2_retention,rho_AB,window,window_state,s0_sqrt
Bs,8.4,38.4625,B_{s1}(5750),0.46040321481676433,-0.03768848066336811,0.46040321481676433,26.18479168765076,0.17546467181484604,26.18479168765076,0.37165133901182834,0.450891363161317,0.2727432104048761,0.7264630487799377,0.0007937408151862188,0.0009629748115738627,0.7298054467440902,0.8856252842000395,0.9178182013103177,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.201814250685036
Bs,8.4,39.082499999999996,B_{s1}(5750),0.46409236596320774,-0.03717247804343562,0.46409236596320774,26.606103578587017,0.17069289942902635,26.606103578587017,0.3750598276866929,0.4542618899501167,0.2739143159612492,0.7252978326119112,0.0007878514268396801,0.0009542234378005798,0.7393628946164698,0.8960755097563545,0.9236655512976021,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.251599795252412
Bs,8.4,39.7025,B_{s1}(5750),0.46752279917228345,-0.03656522031115325,0.46752279917228345,27.000886126618227,0.16516149950819245,27.000886126618227,0.3782963513379537,0.45735827719011657,0.2749322266806491,0.7242852557701882,0.0007825175491627095,0.0009460595559283225,0.7489686076428881,0.905535497196341,0.9290968541501323,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.300991985394046
Bs,8.4,40.3225,B_{s1}(5750),0.47071059800743525,-0.03587902610466597,0.47071059800743525,27.37035190975113,0.15902072182963511,27.37035190975113,0.38136810294634127,0.46019953653762674,0.27581065890891016,0.7234116547838659,0.0007776863072238826,0.0009384394641060074,0.7585515788344231,0.9140718052034902,0.9341417122037892,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.35
Bs,8.8,36.6025,B_{s1}(5750),0.43033257510059597,-0.039649398683843616,0.43033257510059597,22.876041352839664,0.1941983961429602,22.876041352839664,0.34504994333691097,0.42275255171149756,0.27291564676020025,0.7262972521046533,0.0007871011351463403,0.0009643502912076456,0.6708763490185115,0.8332575741467099,0.8862639652367296,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.05
Bs,8.8,37.2225,B_{s1}(5750),0.4350525577795611,-0.039485356783508146,0.4350525577795611,23.380612326128563,0.19259480191383724,23.380612326128563,0.34914972974038183,0.42721190780092916,0.27471491494011424,0.7245061999041537,0.000778885155732094,0.000953026695983854,0.6801739447696213,0.8475976394703448,0.8940014162124936,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.101024504130433
Bs,8.8,37.8425,B_{s1}(5750),0.4394653102312014,-0.039181954374792646,0.4394653102312014,23.85731839458906,0.18964640628346707,23.85731839458906,0.3530616174874484,0.4313365354544465,0.2763056785431102,0.7229228843399584,0.0007714371169313417,0.0009424672546002855,0.6897732511728505,0.8607356134918654,0.9012124891786238,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.151625801363409
Bs,8.8,38.4625,B_{s1}(5750),0.44358793095856236,-0.03875405071854303,0.44358793095856236,24.307028554832243,0.18552679189576177,24.307028554832243,0.35679232549419465,0.4351471685739055,0.2777056454148702,0.7215296730305453,0.0007646815545844865,0.0009326125859832874,0.6995710122329816,0.8727384109831468,0.9079329935780351,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.201814250685036
Bs,8.8,39.082499999999996,B_{s1}(5750),0.44743686896734286,-0.03821565924810173,0.44743686896734286,24.73067458056084,0.1804077291925466,24.73067458056084,0.360348465543997,0.43866367008324403,0.27893112266812325,0.7203103257671324,0.0007585515647443217,0.0009234089920038925,0.7094998029076817,0.8836724163836082,0.9141963027408525,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.251599795252412
Bs,8.8,39.7025,B_{s1}(5750),0.4510279103074328,-0.03757993269453995,0.4510279103074328,25.129234745601917,0.1744554029150998,25.129234745601917,0.3637365386719372,0.44190501466652105,0.2799971376258911,0.7192498747358282,0.0007529876382806771,0.0009148077742012222,0.7195116998025992,0.893603546422179,0.9200335196129178,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.300991985394046
Bs,8.8,40.3225,B_{s1}(5750),0.45437617139480496,-0.036859161630928866,0.45437617139480496,25.50371954315415,0.16782758067818324,25.50371954315415,0.3669629302524529,0.44488928195838295,0.2809175464209625,0.7183345168971884,0.0007479366818489878,0.0009067646508850806,0.7295336826516624,0.9025950876878281,0.9254736312098033,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.35
Bs,9.2,36.6025,B_{s1}(5750),0.4154920357081912,-0.0405063008106433,0.4154920357081912,21.32543188316854,0.20268312674133315,21.32543188316854,0.33197989505367503,0.40883256203119095,0.27725278095932815,0.7219856869399746,0.0007615321006971634,0.0009378252250687603,0.6403878613413422,0.8184955384520954,0.874989643817564,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.05
Bs,9.2,37.2225,B_{s1}(5750),0.4203534558279507,-0.040337301719045,0.4203534558279507,21.827383186923633,0.20099539873699337,21.827383186923633,0.33620255617665823,0.413425533393426,0.27911956323656195,0.7201273649411886,0.0007530718222493968,0.0009260462601403379,0.6498740072298685,0.8332628993384553,0.8831366528647919,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.101024504130433
Bs,9.2,37.8425,B_{s1}(5750),0.4249123822566763,-0.04002380881542201,0.4249123822566763,22.30340661657755,0.19788335227386813,22.30340661657755,0.3402440477290241,0.41768677888068323,0.28077177579957885,0.7184828352258614,0.000745388974559699,0.000915046484648489,0.6596975448375845,0.8468338539913846,0.8907527158492895,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.151625801363409
