sector,state,scenario,M2,s0,theta_deg,quoted_combo,GA_basis,GB_basis,f1_GeV,f2_GeV,rho_AB,g_low,g_high,g_quoted,Gamma_low_keV,Gamma_high_keV,Gamma_quoted_keV,chi_effective
Bs,B_{s1}(5750),lattice_fperp_s,6.0,39.5,35.3,low,0.5788963319144078,0.6657576530197085,0.448804208775972,0.19667693065789485,0.6561573080128956,0.6916381046772736,-0.017502723540572192,0.6916381046772736,59.09221268837304,0.03784283763504365,59.09221268837304,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,6.4,39.5,35.3,low,0.5241586446838779,0.6104932422907072,0.448804208775972,0.19667693065789485,0.6561573080128956,0.6316006888678776,-0.02450887196743888,0.6316006888678776,49.27851571879552,0.07420259173069034,49.27851571879552,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,6.8,39.5,35.3,low,0.48183461346902784,0.567336475694173,0.448804208775972,0.19667693065789485,0.6561573080128956,0.5848821031227533,-0.02944672098323673,0.5848821031227533,42.25801504086539,0.10711401805816897,42.25801504086539,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,7.2,39.5,35.3,low,0.44837475438497937,0.5329090612636213,0.448804208775972,0.19667693065789485,0.6561573080128956,0.5477324116223299,-0.033001972413550164,0.5477324116223299,37.06033235300723,0.13454024745769894,37.06033235300723,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,7.6,39.5,35.3,low,0.4214188708253113,0.5049436902980471,0.448804208775972,0.19667693065789485,0.6561573080128956,0.5176435221949484,-0.03560697699131139,0.5176435221949484,33.10045742757478,0.15661834705691566,33.10045742757478,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,8.0,39.5,35.3,low,0.39934789352588246,0.481871554870625,0.448804208775972,0.19667693065789485,0.6561573080128956,0.49288552459198753,-0.03754315728592326,0.49288552459198753,30.009900509639664,0.17411412877713003,30.009900509639664,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,8.4,39.5,35.3,low,0.38102078789773747,0.4625781449289602,0.448804208775972,0.19667693065789485,0.6561573080128956,0.47223306451599173,-0.03899881992428171,0.47223306451599173,27.54769159037677,0.18787775405618135,27.54769159037677,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,8.8,39.5,35.3,low,0.365614248324501,0.4462532626081562,0.448804208775972,0.19667693065789485,0.6561573080128956,0.454797790095229,-0.04010304068895494,0.454797790095229,25.551071647360324,0.1986675948583552,25.551071647360324,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,9.2,39.5,35.3,low,0.35252178721400884,0.432295895598041,0.448804208775972,0.19667693065789485,0.6561573080128956,0.43992238191784855,-0.04094619254678652,0.43992238191784855,23.906970438518005,0.20710924093721295,23.906970438518005,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,9.6,39.5,35.3,low,0.3412883606460807,0.4202521513156025,0.448804208775972,0.19667693065789485,0.6561573080128956,0.42711159521478753,-0.041592750130273595,0.42711159521478753,22.534874921265377,0.21370156486923866,22.534874921265377,4.980468750000001
