ensemble,M2,s0_root,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,GB_em,G2460,G2536,Gamma2460_keV,Gamma2536_keV,fB,hard_qcd_side,f1_tensor_matched,input_mc,input_ms,input_m_ds1,input_m_ds1_2536,input_m_ds,input_f_ds1,input_f_ds,input_fT,input_ss,input_chi,input_f3g,input_ec,input_es,input_omegaA,input_omegaV
theta_fixed,4.616347573650949,2.502640553583694,35.3,-0.40289905453842034,-0.27122461735662073,-0.39178084482476877,0.12257436435203176,0.0005448637246996696,-0.0025630006085834186,-0.45417489610177797,-0.17209185035653932,43.388577485927,9.196048463707035,0.4583238749262594,-0.10862705146851692,0.059682822414686205,1.2633771721023024,0.07887291023297324,2.45949555340964,2.5351198705715747,1.9682205932256498,0.2005373634506583,0.24964808068047123,0.25012659933584863,-0.011400244733672418,2.549174653496621,-0.0017941614519029322,0.6666666666666666,-0.3333333333333333,-3.2762742333501302,3.9310332495434803
theta_fixed,4.833049167157991,2.5863956832076913,35.3,-0.44257685167226146,-0.2963747453331828,-0.4056134205016826,0.11092772528664413,0.00047042900745366265,-0.002159479125597981,-0.49762897853130905,-0.18994119888356464,52.137348183821814,11.193012669855092,0.4747508433816938,-0.12053917248451504,0.06007773918253688,1.2877690641438928,0.07707692946134717,2.459827932358563,2.5351026883491095,1.9683879931828638,0.20991685984622863,0.25029270265175585,0.2634175252774395,-0.010427529703714357,2.5531175440071467,-0.0016156460761851757,0.6666666666666666,-0.3333333333333333,-3.426524237261036,1.798775244272081
theta_fixed,5.733713699734372,2.5767199068998727,35.3,-0.4176072915232846,-0.3032346551602832,-0.4218516220282234,0.11695210561007796,0.0004556519484561049,0.0012092093094061816,-0.4887987580961771,-0.16559855104204377,50.21367597128168,8.50665394783477,0.45228041801612556,-0.14521389762501624,0.05930159294254363,1.2411677335156288,0.07499805546809311,2.459472040979216,2.5350377284970564,1.9683522623467702,0.22186915669666324,0.24976024223278567,0.2420340639379978,-0.011007790543430075,2.595504648282294,-0.0007930324636144042,0.6666666666666666,-0.3333333333333333,-1.8689440756374165,4.327517826846465
theta_fixed,4.995538799156291,2.5390625675657446,35.3,-0.4156505863925214,-0.31252915002880755,-0.44622133888057286,0.13447874225797812,0.0004716319233051556,-0.0012581853295180055,-0.49525364776070524,-0.15863071570755505,51.51969959461625,7.805654414285567,0.4129270988502776,-0.11886152947128091,0.05984594312500298,1.2728409008999042,0.09300175032731761,2.4593862790654133,2.535047453509544,1.9683677479635753,0.2090100343314245,0.24964138740317032,0.22932283889603153,-0.009346631256996907,3.2102630597157673,0.0004560484135292284,0.6666666666666666,-0.3333333333333333,-3.0175257334101158,6.348847029542194
theta_fixed,3.6890024191614046,2.5658181219967124,35.3,-0.4030768881740458,-0.3100934949335547,-0.4612743660984338,0.1585543366673497,0.000549877989372131,-0.007923343491842729,-0.48600001069875565,-0.14977630981229356,49.3663798092079,6.9602394028331815,0.4320614002774937,-0.09295298651207515,0.059565763756093626,1.2548974471195407,0.07664287707674218,2.4584916151314307,2.5350946886362142,1.9683651666549675,0.21341456700604983,0.250079371479514,0.23400819163153339,-0.009074722527501562,3.612037853446031,-0.001472130211710552,0.6666666666666666,-0.3333333333333333,-1.1177008044638872,5.511422092087452
theta_fixed,5.304013327820321,2.5845508043145653,35.3,-0.4745554768816329,-0.2678579096018924,-0.38440331207149153,0.11593359300509708,0.0003476400438412288,0.00026416942066079436,-0.4928344093353997,-0.2325188279466359,50.82927700052637,16.778863230961946,0.5043075069953599,-0.1362659730029373,0.059314179196781704,1.24079417653436,0.09100571476343254,2.4586751089695853,2.5351023525788747,1.968319155098154,0.19720594389591095,0.25035262812289233,0.2731701641045854,-0.008943193038965978,3.5795420602296426,-0.006729723589528276,0.6666666666666666,-0.3333333333333333,-1.925923859238774,2.8005942636155985
theta_fixed,3.003026496580211,2.56011198067546,35.3,-0.37582782347525645,-0.28434318708511563,-0.39968810594924725,0.13114918819892196,0.0005842339162664631,-0.016388503251056768,-0.4492381367139935,-0.1424173355375282,42.37821062259485,6.293009493130073,0.5180621421638878,-0.0702444182533915,0.059694437779718584,1.2636718013120574,0.08147144258206693,2.4593544281837447,2.5351158294992535,1.968389600830561,0.26597052065260307,0.24989613560004084,0.28335394950117626,-0.009348374553013678,2.994182813931002,-0.006014496494658859,0.6666666666666666,-0.3333333333333333,-1.6165494197132324,5.647101864288305
theta_fixed,3.6382229553333474,2.5517598731326525,35.3,-0.30156812481752265,-0.26620244948182237,-0.4288247650056567,0.1728658369258842,0.0006785488723683398,-0.010922070274418225,-0.39152126579037216,-0.09229396757092995,32.460081166265404,2.645053522562861,0.4572037376192741,-0.08759142457733482,0.05977663932846882,1.2707310509753424,0.09194162250412934,2.4607845684425036,2.535206121896275,1.968306043392166,0.2621286475129387,0.24995274323265723,0.2531790256880506,-0.011626367181659552,3.1884491208517742,-0.0032707580296784675,0.6666666666666666,-0.3333333333333333,-2.1736816361434865,4.115632442108326
theta_fixed,4.265922208564795,2.523458523979732,35.3,-0.3689479810605586,-0.2750135606214278,-0.39131336600066374,0.12037110813577781,0.0004794914654647828,-0.004550794222006666,-0.437648308461681,-0.1421936333137575,40.307187055857995,6.277776348292596,0.4676874298595497,-0.0980035787994115,0.06023164091828224,1.2973723736109664,0.08905447039779583,2.459561319903476,2.5350848981853202,1.968201969277705,0.2274370286746792,0.24933483815098545,0.26363010432616146,-0.009483825221900352,3.0113804626931704,-0.004087756625417012,0.6666666666666666,-0.3333333333333333,-0.5709342395076524,4.259378789785292
theta_fixed,3.2443375223928945,2.513243182230775,35.3,-0.28767052215763284,-0.23916821992486823,-0.44394455026700497,0.22509054141222173,0.000913744516368613,-0.02122795558645361,-0.36142677917241595,-0.0965735472970157,27.40733218804614,2.8947945982786023,0.43294459585609546,-0.0728803295066453,0.060044804662424865,1.2847766960627043,0.07606939189962149,2.4591261459739697,2.535119638204382,1.9683095747197308,0.19712850925352304,0.2498912298247419,0.2395854968805794,-0.013203635275037338,3.321664690840687,-0.005946783734246028,0.6666666666666666,-0.3333333333333333,-2.088503184821496,4.054309036584601
