accepted,M2_GeV2,s0_mix_GeV2,mc_GeV,ms_GeV,ss_GeV3,m0_sq_GeV2,theta_deg,theta_matrix_deg,Pi12_normalized,s01_GeV2,s02_GeV2,m_eff1_GeV,m_eff2_GeV,f1_GeV,f2_GeV,pole_fraction1,pole_fraction2,d5_fraction1,d5_fraction2
0,2.678732116392665,10.27654896284482,1.2673270344976149,0.11506881336547949,-0.0113066316086781,0.8972517431221739,25.915949710865483,30.45171241708162,0.1952640380722717,7.75,9.575,2.459244259912053,2.5346996602416096,0.3785457549126275,0.16575557651268064,0.4823178223790729,0.5988873162462631,0.01692765383641343,0.07195279925315752
1,2.050211467228672,9.642736143188747,1.258492284781419,0.0876501540998025,-0.008594530489061595,1.1981918082174188,27.657940296058612,31.32692210055124,0.1651032176172195,8.525,11.850000000000001,2.460188202925271,2.5352912282851046,0.4393557274842633,0.18362664317190852,0.7313769780810467,0.8758397833380795,0.02204752442043902,0.11958174805530948
1,2.463118339657667,10.058646837740596,1.28738474784239,0.08354686041142198,-0.01178029622465764,0.6196670796310816,25.51805983229157,30.49503119179889,0.23229638797598373,7.8,9.425,2.4590108000604727,2.534953797357029,0.3899972252012939,0.15690530826580612,0.5411457938886677,0.6412571178326557,0.013271030032676575,0.06916624684567399
1,2.4541735480319593,10.89018234315548,1.253533867676719,0.10174097431953139,-0.010473188657658956,0.5637273307220513,27.291616942020752,29.925842502151752,0.11884541890833981,8.125,9.525,2.4595392687873776,2.5341294911895837,0.41467550244420576,0.1637681172129237,0.5828996035885403,0.6365440916456796,0.010032191565124601,0.054071571772029606
1,2.536725628512601,9.242041426346107,1.2796214041008203,0.09712757686069605,-0.008618678954141371,0.9847587136106125,26.352498307402055,31.716982071264997,0.24525681498533317,8.175,9.875,2.459189314089168,2.5344931200459655,0.409162617917828,0.16596976590061954,0.5602719052736994,0.6489376267473395,0.013356198014480255,0.06771394466889541
1,2.200537173297725,9.438886205114498,1.2628914336266301,0.10050316335089478,-0.01081297041258303,0.8824738071778613,25.893467549075872,31.078735853795337,0.22704728883637848,7.925,10.55,2.4602756896041496,2.535804002999634,0.3994094105431637,0.17517670513594416,0.6272521772688963,0.7911386667004964,0.020960390852127503,0.09871882649897937
1,2.590259511111007,9.414080137335748,1.2503752869601243,0.08249207633095597,-0.00983476516343249,0.7051840228962996,27.384158478264638,30.602590295304672,0.15289816688636532,8.3,9.6,2.4595962057467124,2.536065354730245,0.4374778294540454,0.16574667694155878,0.5707388677295763,0.6015928584641049,0.009863345232726601,0.05544855871703012
1,2.292651383051371,10.923540284990706,1.2499987525175489,0.09965266795524394,-0.010903868275741517,0.6794130818925992,26.492343400614253,29.87604536134186,0.15038742935704666,8.075,9.975,2.459602628638724,2.5343702776182586,0.4138902932169033,0.17097480401169188,0.6207177236743806,0.7248988701724741,0.014421117382745343,0.07362750411597459
0,2.62256808735524,9.105946417727925,1.2536912513506626,0.09706201714866454,-0.01432100469842691,0.6218258414154947,27.581156395070575,30.35661302678905,0.12706163254228184,7.575,9.3,2.4601240436258056,2.536007778574846,0.38284913349143246,0.15962912714955463,0.4880913903562588,0.5680451299936836,0.01585641065598576,0.07401370226553895
1,2.1314362921567493,10.364580189571337,1.2278575873206456,0.11444074178964914,-0.011032727737299818,0.9229170441509439,26.115679956691658,30.10241240220949,0.16538596923126392,8.0,11.05,2.4599988456633786,2.5349049670479835,0.4113031840307854,0.18775284889260435,0.6598911567379854,0.8380271629703406,0.02375930044032949,0.1037666178515201
0,2.3502150202518193,10.46972427923571,1.2756821445392168,0.08260781671546251,-0.016344800559324527,0.7598489372893024,26.76505792646783,29.149371298123032,0.1079812288507791,6.6499999999999995,9.75,2.459783450368073,2.5357429000720346,0.32266114774507876,0.1603903379973397,0.44745280626985673,0.6830662786958295,0.03691791177130199,0.1289310729538924
1,2.5827911961213537,10.719399177599035,1.2602805839911684,0.09908321446060497,-0.011069366498541143,0.8477555692573319,26.32177531867822,29.887946337196663,0.15856342602388204,7.95,9.7,2.4597842116756357,2.5348341832933166,0.4024139109857845,0.16731285785422942,0.5311146172443382,0.6269243358506967,0.01523352251312483,0.07216318169179356
1,2.5660002232448917,9.157531286628933,1.2743386368382252,0.08914717626920386,-0.008811985185975202,1.127911743088857,25.87290822065376,31.511820256766608,0.2580493489216423,8.2,10.025,2.459636330359681,2.535255794683982,0.41681593887239843,0.17005496370226245,0.5577464877926898,0.6583419680489405,0.014988577324930249,0.07397017749283037
