M2,s0_root,s0,theta_deg,GA,GB,T_A,T_B,T_A_pert,T_A_tw2,T_A_tw3,T_A_tw4,T_A_3p_g,T_A_3p_gamma,T_B_pert,T_B_tw2,T_B_tw3,T_B_tw4,T_B_3p_g,T_B_3p_gamma,GB_hard,GB_soft2p,GB_3p,GB_em,G_low_combo,G_high_combo,Gamma_low_combo_keV,Gamma_high_combo_keV,fB_effective,hard_qcd_side,f1_tensor_matched,chi_effective,fperp_s_used_GeV,transition_scheme,state,m_initial,m_final,quoted_combo,mass_comment,scenario,mb_MSbar,ms_MSbar,f_Bs,f_Bs1_A_working,fT_Bs1_working,G_quoted,Gamma_quoted_keV
12.5,6.15,37.822500000000005,35.3,0.34636394383732844,0.4482223459052895,0.038734442126398025,0.07634466905387838,-0.00874263430565317,0.04324580183541245,0.0,0.003566987135397008,6.407502675574536e-05,0.0006002124344859946,0.031094710925619506,0.04230457563117811,-0.0021110328887188876,0.0034893532005521866,-0.0001392555522537244,0.0017063177375011896,0.18255818577839494,0.25646388068949993,-0.0008175744434421661,0.0100178538808367,0.5659601509651594,0.023671934413624862,31.216902015946832,0.054611686875315736,0.22471315655866592,0.031094710925619506,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,legacy_chi_condensate,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.5659601509651594,31.216902015946832
13.0,6.15,37.822500000000005,35.3,0.3398879687689171,0.44081249882576773,0.0417836344851437,0.08253628270222493,-0.009297577340412587,0.046710623447091856,0.0,0.0036796079644918953,6.761405803921946e-05,0.0006233663559333162,0.03393431489567218,0.04569398689652328,-0.0023167359857192895,0.0035995228859293524,-0.00014694700055700898,0.0017721410103764131,0.18123750737684344,0.2508951017193393,-0.0007848193835453707,0.009464709113130304,0.556170504658217,0.022668484358289887,30.146298853006876,0.05007985479847186,0.22471315655866592,0.03393431489567218,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,legacy_chi_condensate,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.556170504658217,30.146298853006876
13.5,6.15,37.822500000000005,35.3,0.3341448725011918,0.4341829949762938,0.04484005556114817,0.0887410849472192,-0.009839949042538838,0.05017881090659497,0.0,0.003785280278504251,7.106499195376553e-05,0.0006448484266340208,0.03680136667378505,0.04908669075346758,-0.0025286322343437747,0.0037028952876545216,-0.000154446985065687,0.0018332114517214972,0.18005783466754274,0.24591147907614128,-0.0007556618738745795,0.008969343106484309,0.5474412253972067,0.02181223695604856,29.207413013628315,0.04636801535959064,0.22471315655866592,0.03680136667378505,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,legacy_chi_condensate,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.5474412253972067,29.207413013628315
14.0,6.15,37.822500000000005,35.3,0.3290223980658199,0.42821845832227917,0.04789598246554221,0.09494226527066701,-0.010369150370804943,0.05364149441669602,0.0,0.003884483610315629,7.442695081562207e-05,0.0006647278585198748,0.03968668404466365,0.05247401045209206,-0.002746340950696887,0.0037999395017831337,-0.00016175359829187903,0.00188972582111694,0.1789990012254304,0.24142577744140364,-0.0007295578664692951,0.008523237521914395,0.5396132819182652,0.02107824599655414,28.378102643561423,0.04329991373265148,0.22471315655866592,0.03968668404466365,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,legacy_chi_condensate,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.5396132819182652,28.378102643561423
8.0,5.95,35.4025,35.3,0.7499379903364477,0.7572824900160361,0.021009599256677235,0.03231252617880105,-0.003648702418658075,0.022167313566140726,0.0,0.0021577563549583733,2.9189139052281013e-05,0.00030404261518393057,0.008331439578486978,0.021684851557797386,-0.0006154708131655445,0.0021107937195707937,-6.343734656609683e-05,0.0008643494826775282,0.19525719761130966,0.5432549637290179,-0.0014867296819120615,0.020257058357620445,1.0514040919423506,0.1744511234748548,107.73514971623395,2.9659623586587784,0.22471315655866592,0.008331439578486978,-0.15625,4.980468750000001,-0.055080000000000004,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,lattice_fperp_s,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,1.0514040919423506,107.73514971623395
8.5,5.95,35.4025,35.3,0.7054056777222795,0.7170537618243981,0.024777764396242616,0.03836149022881156,-0.004282541148743601,0.02633262028495624,0.0,0.002354566861351666,3.3190716695973475e-05,0.00033992768198234,0.010148022735046136,0.025759502174377974,-0.0007435869277505464,0.0023033207302714637,-7.213405623401103e-05,0.000966365573100543,0.18968704901300132,0.510651718965055,-0.0013483312579812856,0.018063325104323038,0.9928385782885104,0.16135310648202084,96.0672550556857,2.5373054716955363,0.22471315655866592,0.010148022735046136,-0.15625,4.980468750000001,-0.055080000000000004,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,lattice_fperp_s,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.9928385782885104,96.0672550556857
9.0,5.95,35.4025,35.3,0.6690187090401253,0.6839456422507112,0.028732780621945845,0.04473851494825165,-0.0049377904295909375,0.030718090141994885,0.0,0.0025407652409270816,3.7205958085442694e-05,0.00037450971052937235,0.01210228146854575,0.030049524173540516,-0.000882574127691469,0.0024854665825123335,-8.086046159711782e-05,0.001064677312941632,0.1850151414564751,0.48389027764359727,-0.0012361644190402653,0.016276387569679106,0.9447913100863692,0.150788112876101,86.99411491491013,2.215910961045102,0.22471315655866592,0.01210228146854575,-0.15625,4.980468750000001,-0.055080000000000004,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,lattice_fperp_s,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.9447913100863692,86.99411491491013
9.5,5.95,35.4025,35.3,0.6388107191240424,0.6562754330893525,0.03284253210938379,0.0513891185706098,-0.005608479698141028,0.035285900412115045,0.0,0.002716345221651037,4.120858835372553e-05,0.00040755758540500617,0.01417673572177171,0.03451791802542497,-0.0010318285326582442,0.002657225140767923,-8.955945895535491e-05,0.0011586276742587961,0.18104695379850377,0.4615757211678172,-0.0011437377084492029,0.014796495831480806,0.9047526949740956,0.14212367811700083,79.77703009037093,1.9685704897647731,0.22471315655866592,0.01417673572177171,-0.15625,4.980468750000001,-0.055080000000000004,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,lattice_fperp_s,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.9047526949740956,79.77703009037093
10.0,5.95,35.4025,35.3,0.6133859083748606,0.6328405293068248,0.037077528088635237,0.058262866300249926,-0.00628944110817421,0.04000133978208689,0.0,0.0028815310205378866,4.517783948891161e-05,0.00043892055469576125,0.016354473387558924,0.03913072789354627,-0.001190752901168987,0.0028188157420660814,-9.818591276818143e-05,0.001247788091015822,0.17763927956755488,0.4427144824864306,-0.0010664773114058604,0.013553244564245167,0.8709346683373405,0.13491557217134698,73.92464547980704,1.7739535862721207,0.22471315655866592,0.016354473387558924,-0.15625,4.980468750000001,-0.055080000000000004,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,lattice_fperp_s,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.8709346683373405,73.92464547980704
10.5,5.95,35.4025,35.3,0.5917296438570327,0.6127612373446021,0.04141106618808627,0.06531380017118651,-0.006976259105780901,0.044833020875789394,0.0,0.003036695577885683,4.9097523447689844e-05,0.0004685113167444038,0.018619508956182734,0.04385724953447219,-0.0013587672651963147,0.002970603209820303,-0.00010670464123349234,0.0013319103771410922,0.17468457380883962,0.4265820241062894,-0.0010010819738137252,0.012495721403286784,0.8420329658174832,0.1288440525902212,69.09971925114816,1.6178820123906663,0.22471315655866592,0.018619508956182734,-0.15625,4.980468750000001,-0.055080000000000004,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,lattice_fperp_s,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.8420329658174832,69.09971925114816
11.0,5.95,35.4025,35.3,0.5730888373670434,0.5953808339578459,0.04581923773430598,0.07250055709766987,-0.00766520191078455,0.04975289048002972,0.0,0.00318230224135123,5.295522206850772e-05,0.0004962917016410725,0.02095699424623188,0.0486700403010822,-0.0015353156221239853,0.0031130408071257058,-0.00011508865570949495,0.0014108860210635477,0.1721006459958959,0.4126389881297121,-0.0009451179764466771,0.011586317808684531,0.8170764331278972,0.12367398831622867,65.06440497114627,1.4906470554198705,0.22471315655866592,0.02095699424623188,-0.15625,4.980468750000001,-0.055080000000000004,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,lattice_fperp_s,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.8170764331278972,65.06440497114627
11.5,5.95,35.4025,35.3,0.5568941448285653,0.5802001587631203,0.05028083090223551,0.07978628070929139,-0.0083531462984434,0.05473611102023633,0.0,0.0033188637248066514,5.6741596118861634e-05,0.000522260859517065,0.02335332230715231,0.053544803197890914,-0.0017198698322855395,0.003246630088858367,-0.00012331765905320292,0.0014847126067285413,0.16982369888408888,0.40047649264458235,-0.0008967572460440879,0.010796724480493167,0.7953286869007778,0.11922915988034771,61.646920743802276,1.385425131152484,0.22471315655866592,0.02335332230715231,-0.15625,4.980468750000001,-0.055080000000000004,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,lattice_fperp_s,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.7953286869007778,61.646920743802276
