sector,state,scan,M2_GeV2,s0_GeV2,theta_deg,width_keV
Ds,Ds1_2460,M2,3.55,8.0,27.200000000000003,34.07638205252981
Ds,Ds1_2536,M2,3.55,8.0,27.200000000000003,1.424408568635629
Ds,Ds1_2460,M2,3.6,8.0,26.0,34.33374083941212
Ds,Ds1_2536,M2,3.6,8.0,26.0,0.599876793564103
Ds,Ds1_2460,M2,3.6,8.0,26.6,34.29818738528838
Ds,Ds1_2536,M2,3.6,8.0,26.6,0.9175482263991381
Ds,Ds1_2460,M2,3.6,8.0,27.200000000000003,34.25513429372955
Ds,Ds1_2536,M2,3.6,8.0,27.200000000000003,1.3022291982078065
Ds,Ds1_2460,M2,3.65,8.0,26.0,34.505604274592606
Ds,Ds1_2536,M2,3.65,8.0,26.0,0.5234338656613079
Ds,Ds1_2460,M2,3.65,8.0,26.6,34.47203030120641
Ds,Ds1_2536,M2,3.65,8.0,26.6,0.822987797466205
Ds,Ds1_2460,M2,3.65,8.0,27.200000000000003,34.43091627176058
Ds,Ds1_2536,M2,3.65,8.0,27.200000000000003,1.1898156683048327
Ds,Ds1_2460,M2,3.7,8.0,26.0,34.6747249567095
Ds,Ds1_2536,M2,3.7,8.0,26.0,0.45472175424153166
Ds,Ds1_2460,M2,3.7,8.0,26.6,34.64306865829038
Ds,Ds1_2536,M2,3.7,8.0,26.6,0.7367711680802498
Ds,Ds1_2460,M2,3.7,8.0,27.200000000000003,34.60383269832395
Ds,Ds1_2536,M2,3.7,8.0,27.200000000000003,1.0863534017142846
Ds,Ds1_2460,M2,3.75,8.0,26.0,34.841195593863446
Ds,Ds1_2536,M2,3.75,8.0,26.0,0.39306446424421343
Ds,Ds1_2460,M2,3.75,8.0,26.6,34.81139807192631
Ds,Ds1_2536,M2,3.75,8.0,26.6,0.6581916112220542
Ds,Ds1_2460,M2,3.75,8.0,27.200000000000003,34.77398205881862
Ds,Ds1_2536,M2,3.75,8.0,27.200000000000003,0.9911052282487866
Ds,Ds1_2460,M2,3.8,8.0,26.0,35.00510358325796
Ds,Ds1_2536,M2,3.8,8.0,26.0,0.33785090499787335
Ds,Ds1_2460,M2,3.8,8.0,26.6,34.977108660433835
Ds,Ds1_2536,M2,3.8,8.0,26.6,0.5866093641262246
Ds,Ds1_2460,M2,3.8,8.0,27.200000000000003,34.94145715811813
Ds,Ds1_2536,M2,3.8,8.0,27.200000000000003,0.9034029783604912
Ds,Ds1_2460,M2,3.85,8.0,26.0,35.16653146728919
Ds,Ds1_2536,M2,3.85,8.0,26.0,0.28852784862048414
Ds,Ds1_2460,M2,3.85,8.0,26.6,35.140285515913504
Ds,Ds1_2536,M2,3.85,8.0,26.6,0.5214444174441674
Ds,Ds1_2460,M2,3.85,8.0,27.200000000000003,35.10634560591356
Ds,Ds1_2536,M2,3.85,8.0,27.200000000000003,0.8226401055035318
Ds,Ds1_2460,M2,3.9,8.0,26.0,35.32555733961009
Ds,Ds1_2536,M2,3.9,8.0,26.0,0.2445937453083277
Ds,Ds1_2460,M2,3.9,8.0,26.6,35.301009123701206
Ds,Ds1_2536,M2,3.9,8.0,26.6,0.46217017748323125
Ds,Ds1_2460,M2,3.9,8.0,27.200000000000003,35.26873024932675
Ds,Ds1_2536,M2,3.9,8.0,27.200000000000003,0.7482651974668314
Ds,Ds1_2460,M2,3.95,8.0,26.0,35.48225520750901
Ds,Ds1_2536,M2,3.95,8.0,26.0,0.20559328000148658
Ds,Ds1_2460,M2,3.95,8.0,26.6,35.45935573691262
Ds,Ds1_2536,M2,3.95,8.0,26.6,0.40830788426697634
Ds,Ds1_2460,M2,3.95,8.0,27.200000000000003,35.42868955941531
Ds,Ds1_2536,M2,3.95,8.0,27.200000000000003,0.6797762577184586
Ds,Ds1_2460,M2,4.0,8.0,26.0,35.63669531605729
Ds,Ds1_2536,M2,4.0,8.0,26.0,0.1711125719630008
Ds,Ds1_2460,M2,4.0,8.0,26.6,35.61539771165831
Ds,Ds1_2536,M2,4.0,8.0,26.6,0.3594216854167695
Ds,Ds1_2460,M2,4.0,8.0,27.200000000000003,35.58629797727247
Ds,Ds1_2536,M2,4.0,8.0,27.200000000000003,0.6167156552585347
Ds,Ds1_2460,M2,4.05,8.0,26.0,35.78894443872701
Ds,Ds1_2536,M2,4.05,8.0,26.0,0.1407749331297601
Ds,Ds1_2460,M2,4.05,8.0,26.6,35.769203807742606
Ds,Ds1_2536,M2,4.05,8.0,26.6,0.31511428035602757
Ds,Ds1_2460,M2,4.05,8.0,27.200000000000003,35.74162622464473
Ds,Ds1_2536,M2,4.05,8.0,27.200000000000003,0.5586656561538713
Ds,Ds1_2460,M2,4.1,8.0,26.0,35.939066138540404
Ds,Ds1_2536,M2,4.1,8.0,26.0,0.11423711315573
Ds,Ds1_2460,M2,4.1,8.0,26.6,35.92083945900749
Ds,Ds1_2536,M2,4.1,8.0,26.6,0.2750230615579595
Ds,Ds1_2460,M2,4.1,8.0,27.200000000000003,35.89474158332467
Ds,Ds1_2536,M2,4.1,8.0,27.200000000000003,0.5052444623002823
Ds,Ds1_2460,M2,4.15,8.0,26.0,36.08712100326613
Ds,Ds1_2536,M2,4.15,8.0,26.0,0.09118596925540874
Ds,Ds1_2460,M2,4.15,8.0,26.6,36.07036701692437
Ds,Ds1_2536,M2,4.15,8.0,26.6,0.23881668988270724
Ds,Ds1_2460,M2,4.15,8.0,27.200000000000003,36.04570814700892
Ds,Ds1_2536,M2,4.15,8.0,27.200000000000003,0.4561026934174129
Ds,Ds1_2460,M2,4.2,8.0,26.0,36.233166857711076
Ds,Ds1_2536,M2,4.2,8.0,26.0,0.07133550758045532
Ds,Ds1_2460,M2,4.2,8.0,26.6,36.217845970561974
Ds,Ds1_2536,M2,4.2,8.0,26.6,0.20619204979502262
Ds,Ds1_2460,M2,4.2,8.0,27.200000000000003,36.194587048825426
Ds,Ds1_2536,M2,4.2,8.0,27.200000000000003,0.41092025714384106
Ds,Ds1_2460,M2,4.25,8.0,26.0,36.377258955757604
Ds,Ds1_2536,M2,4.25,8.0,26.0,0.054424250183505746
Ds,Ds1_2460,M2,4.25,8.0,26.6,36.363333145649726
Ds,Ds1_2536,M2,4.25,8.0,26.6,0.17687153768042274
Ds,Ds1_2460,M2,4.25,8.0,27.200000000000003,36.34143666731882
Ds,Ds1_2536,M2,4.25,8.0,27.200000000000003,0.36940355962998145
Ds,Ds1_2460,M2,4.3,8.0,26.0,36.519450154451654
Ds,Ds1_2536,M2,4.3,8.0,26.0,0.040212887852158936
Ds,Ds1_2460,M2,4.3,8.0,26.6,36.506882885104815
Ds,Ds1_2536,M2,4.3,8.0,26.6,0.15060064279947774
Ds,Ds1_2460,M2,4.3,8.0,27.200000000000003,36.48631281332225
Ds,Ds1_2536,M2,4.3,8.0,27.200000000000003,0.33128301543872846
Ds,Ds1_2460,M2,4.35,8.0,26.0,36.65979107215597
Ds,Ds1_2536,M2,4.35,8.0,26.0,0.028482184408150715
Ds,Ds1_2460,M2,4.35,8.0,26.6,36.648547213093075
Ds,Ds1_2536,M2,4.35,8.0,26.6,0.1271457858134015
Ds,Ds1_2460,M2,4.35,8.0,27.200000000000003,36.62926889984147
Ds,Ds1_2536,M2,4.35,8.0,27.200000000000003,0.2963108210369791
Ds,Ds1_2460,M2,4.4,8.0,26.0,36.79833023252497
Ds,Ds1_2536,M2,4.4,8.0,26.0,0.019031102607611646
Ds,Ds1_2460,M2,4.4,8.0,26.6,36.7883759844302
