input_set,transition_scheme,M2,s0_root,s0,g1_GeV_inv,width_keV,qcd_side,pert,heavy_local,legacy_heavy_local_diagnostic,twist2,twist4_2p,twist3_2p
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,6.0,2.6,6.760000000000001,-0.34429750132953524,24.917386659501258,-0.05822540544731009,-0.1047716099924059,-0.005635706543584311,-0.005635706543584311,0.04602042759864298,0.0061614834900372,-5.924717096806923e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,3.0,2.5,6.25,-0.8764605839798076,161.47285696350502,-0.0648285160236523,-0.04302719807906396,-0.004049880333831748,-0.004049880333831748,-0.023358365883731903,0.005606928272975349,-4.3727099313716314e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,3.25,2.5,6.25,-0.8602684891962462,155.56173579778238,-0.07226379690893577,-0.04813623055364277,-0.004261051931028792,-0.004261051931028792,-0.02557088365623854,0.005704369231974364,-4.5818997639189385e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,3.5,2.5,6.25,-0.8470117293464094,150.80425606286067,-0.07934799561664475,-0.05302733534852039,-0.004450808778064736,-0.004450808778064736,-0.027654969218631163,0.00578511772857157,-4.769152674713338e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,3.75,2.5,6.25,-0.835980675270845,146.90183686730725,-0.08607715667028171,-0.05769225518451219,-0.004622094433858464,-0.004622094433858464,-0.029615552121325876,0.005852745069414884,-4.937617554780172e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,4.0,2.5,6.25,-0.8266729538496324,143.64886797113968,-0.09245702172439146,-0.06213054702251081,-0.004777373973040371,-0.004777373973040371,-0.03145902613188317,0.005909925403042943,-5.089898750444347e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,4.25,2.5,6.25,-0.8187240341494144,140.89962225251094,-0.09849926078501076,-0.06634677679897884,-0.0049187163710853535,-0.0049187163710853535,-0.033192457965372,0.005958690350425499,-5.22816004895553e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,4.5,2.5,6.25,-0.811863634525034,138.54821248547043,-0.10421896418896406,-0.07034860734586663,-0.005047864420730654,-0.005047864420730654,-0.034823096539263645,0.006000604116896929,-5.354208774780749e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,4.75,2.5,6.25,-0.8058875088755549,136.51601371084138,-0.1096329860961913,-0.07414550383029872,-0.005166292524241334,-0.005166292524241334,-0.03635807562385827,0.00603688588220706,-5.46956302761514e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,5.0,2.5,6.25,-0.8006386910520985,134.743522616673,-0.1147588617898092,-0.07774786396930344,-0.005275253869198157,-0.005275253869198157,-0.037804240620462344,0.006068496669154803,-5.575505235863149e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,5.25,2.5,6.25,-0.7959947254540986,133.1849431224056,-0.11961411120342479,-0.08116643971996329,-0.005375818737038458,-0.005375818737038458,-0.03916805464676369,0.006096201900340727,-5.67312482450348e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,5.5,2.5,6.25,-0.7918587852796412,131.80449709461362,-0.12421580208435344,-0.08441195868806872,-0.005468905576442396,-0.005468905576442396,-0.040455554882303194,0.006120617062460937,-5.763352301164061e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,5.75,2.5,6.25,-0.7881533748259023,130.5738557502361,-0.12858028727670634,-0.08749488217536311,-0.005555306240990668,-0.005555306240990668,-0.04167234032478051,0.006142241464427983,-5.846986596201886e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,6.0,2.5,6.25,-0.7848157857377932,129.47031639853037,-0.1327230582550622,-0.09042525647839936,-0.005635706543584311,-0.005635706543584311,-0.04282357872311569,0.0061614834900372,-5.924717096806923e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,3.0,2.55,6.5024999999999995,-0.9173104732193524,176.87540760275587,-0.06785002976601047,-0.04548998228182687,-0.004049880333831748,-0.004049880333831748,-0.02391709542332715,0.005606928272975349,-4.3727099313716314e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,3.25,2.55,6.5024999999999995,-0.9026259801164006,171.25781897053147,-0.07582188738867186,-0.051036379904376906,-0.004261051931028792,-0.004261051931028792,-0.02622882478524048,0.005704369231974364,-4.5818997639189385e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,3.5,2.55,6.5024999999999995,-0.890705779130734,166.76437875878085,-0.08344125094078926,-0.05636370048706897,-0.004450808778064736,-0.004450808778064736,-0.028411859404227087,0.00578511772857157,-4.769152674713338e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,3.75,2.55,6.5024999999999995,-0.8808672359894971,163.1006391440569,-0.09069892321783707,-0.06145941396621697,-0.004622094433858464,-0.004622094433858464,-0.03047015988717645,0.005852745069414884,-4.937617554780172e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,4.0,2.55,6.5024999999999995,-0.8726297023533278,160.06439309599196,-0.09759693113475962,-0.06632004918973093,-0.004777373973040371,-0.004777373973040371,-0.0324094333750312,0.005909925403042943,-5.089898750444347e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,colangelo_local_benchmark,4.25,2.55,6.5024999999999995,-0.8656462931356419,157.51274385557582,-0.1041443959364515,-0.07094809439834965,-0.0049187163710853535,-0.0049187163710853535,-0.03423627551744195,0.005958690350425499,-5.22816004895553e-17
