fB_scheme,M2,s0_root,s0,GA_stage1_full,GB_twist2_only,G2460_using_partial_GB,G2536_using_partial_GB,Gamma2460_keV_partial,Gamma2536_keV_partial,fB
fB_equal_fT,3.5,2.55,6.5024999999999995,-0.34905691528407773,0.24886524612537722,0.0014030823867796915,-0.4286871495583887,0.0004138101085366499,57.02707466444423,0.256
fB_converted_fT_M_over_msum,3.5,2.55,6.5024999999999995,-0.34905691528407773,0.13791556432969673,-0.08914712353410761,-0.3645740300098309,1.6705113041744901,41.24502979026442,0.4619457079970653
fB_equal_fT,3.75,2.55,6.5024999999999995,-0.35203015056587755,0.24213987688162814,-0.005803850936886984,-0.4272274127417234,0.00708055415976477,56.63936632663804,0.256
fB_converted_fT_M_over_msum,3.75,2.55,6.5024999999999995,-0.35203015056587755,0.13418851481588093,-0.09390701541909673,-0.36484689510944707,1.8536631884216315,41.30679250445598,0.4619457079970653
fB_equal_fT,4.0,2.55,6.5024999999999995,-0.3544775602984657,0.23653342580724848,-0.011793740779599993,-0.4259851053237532,0.029237343194185483,56.310449220379866,0.256
fB_converted_fT_M_over_msum,4.0,2.55,6.5024999999999995,-0.3544775602984657,0.13108154477547454,-0.09785698483429173,-0.36504893186396037,2.0128824345058827,41.35255307470254,0.4619457079970653
fB_equal_fT,4.25,2.55,6.5024999999999995,-0.3565308687627079,0.23179341550577243,-0.016848761315275324,-0.4249218364530868,0.059672015318211334,56.029695623094746,0.256
fB_converted_fT_M_over_msum,4.25,2.55,6.5024999999999995,-0.3565308687627079,0.12845473687105824,-0.1011873414582791,-0.3652067931103003,2.1522222701009968,41.38832568746704,0.4619457079970653
fB_equal_fT,4.5,2.55,6.5024999999999995,-0.35828115064776883,0.22773703555397284,-0.02117073920568932,-0.4240062972101776,0.09421212382666586,55.78851186701505,0.256
fB_converted_fT_M_over_msum,4.5,2.55,6.5024999999999995,-0.35828115064776883,0.12620678164670257,-0.10403339594979565,-0.36533626588426826,2.274994234404663,41.41767679106961,0.4619457079970653
fB_equal_fT,4.75,2.55,6.5024999999999995,-0.3597932696797829,0.22422888596719096,-0.024907661466710918,-0.4232131834066801,0.1304069262114741,55.57999960228151,0.256
fB_converted_fT_M_over_msum,4.75,2.55,6.5024999999999995,-0.3597932696797829,0.12426264345325522,-0.1064938697214033,-0.36544692798903183,2.3838776759453237,41.442771816546895,0.4619457079970653
fB_equal_fT,5.0,2.55,6.5024999999999995,-0.36111463068747884,0.22116668158066427,-0.028170400107923876,-0.4225220776429519,0.16680949992733088,55.39862389603663,0.256
fB_converted_fT_M_over_msum,5.0,2.55,6.5024999999999995,-0.36111463068747884,0.12256563813557445,-0.10864241808458867,-0.3655447129160375,2.481039029023138,41.46495298858647,0.4619457079970653
fB_equal_fT,5.25,2.55,6.5024999999999995,-0.36228067240066963,0.21847179991611343,-0.03104360042949811,-0.4219164702000163,0.20257176841304664,55.239930293992984,0.256
fB_converted_fT_M_over_msum,5.25,2.55,6.5024999999999995,-0.36228067240066963,0.1210721948711781,-0.11053507936563105,-0.3656333658128583,2.56823644420832,41.48506781352797,0.4619457079970653
fB_equal_fT,5.5,2.55,6.5024999999999995,-0.3633184222449756,0.21608287040796614,-0.033592967260883816,-0.4213829557266566,0.23720917498704233,55.100316549897784,0.256
fB_converted_fT_M_over_msum,5.5,2.55,6.5024999999999995,-0.3633184222449756,0.11974830346251589,-0.11221522856915947,-0.365715291725545,2.646904952134857,41.50366066159745,0.4619457079970653
