sector,state,scenario,M2,s0,theta_deg,GA_basis,GB_basis,f1_GeV,f2_GeV,rho_AB,f1_target_clipped,g_2460,g_2536,Gamma_2460_keV,Gamma_2536_keV,chi_effective,g1_abs,g2_abs,scan,fixed_s0,fixed_M2,quoted_combo,g_low,g_high,g_quoted,Gamma_low_keV,Gamma_high_keV,Gamma_quoted_keV,g_quoted_abs
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.55,7.5,35.3,-0.29112604954773935,-0.24540822605237095,0.345,0.3807805629715229,-0.4081864418895571,0,-0.37789356641488875,0.03164351167576676,30.017446551968423,0.3107202168650939,4.980468750000001,0.37789356641488875,0.03164351167576676,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.6,7.5,35.3,-0.2915789816604166,-0.24560453577070923,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3782787846335576,0.03156270485340157,30.07867628444385,0.30913529452411553,4.980468750000001,0.3782787846335576,0.03156270485340157,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.65,7.5,35.3,-0.2920506504326234,-0.24581086294000132,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3786820109511446,0.03147988484029707,30.142835198791975,0.3075150912571234,4.980468750000001,0.3786820109511446,0.03147988484029707,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.7,7.5,35.3,-0.2925387415368698,-0.24602607563796913,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3791011362325993,0.03139537420581465,30.209596309006827,0.3058662026651332,4.980468750000001,0.3791011362325993,0.03139537420581465,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.75,7.5,35.3,-0.2930411695651243,-0.24624914942087203,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3795342550653659,0.031309460468938705,30.27866399675474,0.3041944816569694,4.980468750000001,0.3795342550653659,0.031309460468938705,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.8,7.5,35.3,-0.2935560540353966,-0.2464791563870528,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3799796447659299,0.03122240000228303,30.349770716731218,0.3025051204992729,4.980468750000001,0.3799796447659299,0.03122240000228303,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.85,7.5,35.3,-0.29408169816332536,-0.2467152554719192,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3804357467740894,0.03113442146595084,30.422674091528727,0.3008027234187813,4.980468750000001,0.3804357467740894,0.03113442146595084,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.9,7.5,35.3,-0.2946165700479738,-0.24695668382098693,0.345,0.3807805629715229,-0.4081864418895571,0,-0.38090115013514597,0.03104572883290051,30.497154344434826,0.29909137089649807,4.980468750000001,0.38090115013514597,0.03104572883290051,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.95,7.5,35.3,-0.29515928596971686,-0.24720274910857643,0.345,0.3807805629715229,-0.4081864418895571,0,-0.38137457681146153,0.03095650405868983,30.573012026143815,0.2973746766510372,4.980468750000001,0.38137457681146153,0.03095650405868983,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.0,7.5,35.3,-0.2957085955394498,-0.24745282268761673,0.345,0.3807805629715229,-0.4081864418895571,0,-0.38185486859993534,0.03086690944105421,30.650065997717512,0.2956558381842629,4.980468750000001,0.38185486859993534,0.03086690944105421,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.05,7.5,35.3,-0.2962633684735536,-0.2477063334712277,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3823409754618453,0.030777089708465034,30.728151637474742,0.29393768165360495,4.980468750000001,0.3823409754618453,0.030777089708465034,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.1,7.5,35.3,-0.2968225827990991,-0.2479627624597911,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3828319450970774,0.030687173871464378,30.8071192440074,0.29222270174080145,4.980468750000001,0.3828319450970774,0.030687173871464378,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.15,7.5,35.3,-0.29738531431948284,-0.24822163783837875,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3833269136166426,0.030597276865996097,30.886832611343014,0.29051309710394296,4.980468750000001,0.3833269136166426,0.030597276865996097,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.2,7.5,35.3,-0.29795072719271487,-0.24848253057900674,0.345,0.3807805629715229,-0.4081864418895571,0,-0.38382509718618024,0.03050750101406019,30.967167755523363,0.28881080192766884,4.980468750000001,0.38382509718618024,0.03050750101406019,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.25,7.5,35.3,-0.2985180654935216,-0.2487450504904394,0.345,0.3807805629715229,-0.4081864418895571,0,-0.384325784529301,0.030417937323669833,31.04801177463313,0.2871175140232356,4.980468750000001,0.384325784529301,0.030417937323669833,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.3,7.5,35.3,-0.2990866456467147,-0.24900884266539597,0.345,0.3807805629715229,-0.4081864418895571,0,-0.38482833019355484,0.03032866664723279,31.12926182667367,0.2854347198753172,4.980468750000001,0.38482833019355484,0.03032866664723279,M2,7.5,,,,,,,,,
