key,python,mathematica,absolute_difference,relative_difference,passed
Ds.g_2_A,-0.3666727706687889,-0.3666727706180409,5.074801689985975e-11,0.0,1
Ds.g_2_B,0.41317144691328045,0.41317144686547874,4.780170703710951e-11,0.0,1
Ds.ordinary_local_transition_condensate,0.0,0.0,0.0,0.0,1
Ds.s0,8.0,8.0,0.0,0.0,1
Ds.z,0.5,0.5,0.0,0.0,1
convolution.J_em_axial,0.0,0.0,0.0,0.0,1
convolution.J_em_tensor_base,1.5625000000000047,1.5624999999999944,1.021405182655144e-14,0.0,1
convolution.J_g_axial,0.07032985001580308,0.07032985001580289,1.942890293094024e-16,0.0,1
convolution.J_g_closure,-2.7755575615628914e-17,2.7755575615628914e-17,5.551115123125783e-17,0.0,1
convolution.J_g_sigma,-0.15625,-0.15625000000000008,8.326672684688674e-17,0.0,1
convolution.J_g_xgamma,0.2265798500158031,0.22657985001580294,1.6653345369377348e-16,0.0,1
convolution.L_T4gamma,0.11118345832015966,0.11118345832016344,3.774758283725532e-15,0.0,1
convolution.Lprime_T4gamma,0.4098669166402215,0.4098669166401059,1.1562972801471005e-13,0.0,1
convolution.z,0.5,0.5,0.0,0.0,1
