fB_scheme,include_vector_da_diagnostic,M2,s0_root,s0,GA_stage1_full,GB_tensor_DA_soft2p,GB_vector_DA_diagnostic,GB_soft2p_estimate,G2460_partial,G2536_partial,Gamma2460_keV_partial,Gamma2536_keV_partial,fB
fB_equal_fT,True,4.0,2.55,6.5024999999999995,-0.31236722425632474,0.2771792349086965,-1.1996339416181026e-15,0.2771792349086953,0.04571261065461574,-0.41510476783736205,0.43924497205126617,53.47066766406288,0.256
fB_converted_fT_M_over_msum,False,4.0,2.55,6.5024999999999995,-0.31236722425632474,0.15360654489959477,-6.648103526836648e-16,0.15360654489959477,-0.05513970676913424,-0.34369734675002395,0.6390924015933807,36.656628883462794,0.4619457079970653
fB_converted_fT_M_over_msum,True,4.0,2.55,6.5024999999999995,-0.31236722425632474,0.15360654489959477,-6.648103526836648e-16,0.1536065448995941,-0.055139706769134794,-0.34369734675002356,0.6390924015933935,36.656628883462716,0.4619457079970653
fB_equal_fT,False,4.25,2.55,6.5024999999999995,-0.31637719044714513,0.26983195529294424,-1.1419854368894923e-15,0.26983195529294424,0.037399030038485964,-0.41413177043620186,0.29400548117847297,53.22029306092537,0.256
fB_equal_fT,True,4.25,2.55,6.5024999999999995,-0.31637719044714513,0.26983195529294424,-1.1419854368894923e-15,0.26983195529294307,0.03739903003848502,-0.4141317704362012,0.2940054811784581,53.220293060925194,0.256
fB_converted_fT_M_over_msum,False,4.25,2.55,6.5024999999999995,-0.31637719044714513,0.1495348465396556,-6.328628381705134e-16,0.1495348465396556,-0.06077996239303399,-0.3446171689518224,0.7765252886642046,36.85309650158298,0.4619457079970653
fB_converted_fT_M_over_msum,True,4.25,2.55,6.5024999999999995,-0.31637719044714513,0.1495348465396556,-6.328628381705134e-16,0.14953484653965496,-0.0607799623930345,-0.344617168951822,0.7765252886642177,36.853096501582904,0.4619457079970653
fB_equal_fT,False,4.5,2.55,6.5024999999999995,-0.31979025578626535,0.2635898573860869,-1.0930722041599115e-15,0.2635898573860869,0.030332353467009326,-0.4133102574892318,0.1933957678981587,53.00935635869779,0.256
fB_equal_fT,True,4.5,2.55,6.5024999999999995,-0.31979025578626535,0.2635898573860869,-1.0930722041599115e-15,0.2635898573860858,0.03033235346700841,-0.4133102574892311,0.193395767898147,53.00935635869761,0.256
fB_converted_fT_M_over_msum,False,4.5,2.55,6.5024999999999995,-0.31979025578626535,0.14607561521335086,-6.057562164138887e-16,0.14607561521335086,-0.06557543693994383,-0.3454037566760666,0.9038932344567048,37.02152267797969,0.4619457079970653
fB_converted_fT_M_over_msum,True,4.5,2.55,6.5024999999999995,-0.31979025578626535,0.14607561521335086,-6.057562164138887e-16,0.14607561521335025,-0.06557543693994433,-0.3454037566760662,0.9038932344567185,37.02152267797962,0.4619457079970653
fB_equal_fT,False,4.75,2.55,6.5024999999999995,-0.3227316689634612,0.2582258058590703,-1.0510862842702127e-15,0.2582258058590703,0.024254831349779404,-0.41261119727862594,0.12366057685629737,52.830191226242654,0.256
fB_equal_fT,True,4.75,2.55,6.5024999999999995,-0.3227316689634612,0.2582258058590703,-1.0510862842702127e-15,0.25822580585906924,0.024254831349778544,-0.4126111972786253,0.12366057685628859,52.83019122624248,0.256
fB_converted_fT_M_over_msum,False,4.75,2.55,6.5024999999999995,-0.3227316689634612,0.14310297759134488,-5.824885568043503e-16,0.14310297759134488,-0.06970123627585417,-0.34608659322352786,1.0212115356537015,37.168044747844554,0.4619457079970653
fB_converted_fT_M_over_msum,True,4.75,2.55,6.5024999999999995,-0.3227316689634612,0.14310297759134488,-5.824885568043503e-16,0.1431029775913443,-0.06970123627585464,-0.3460865932235275,1.021211535653715,37.16804474784449,0.4619457079970653
