sector,state,state_label,scan,M2,s0,fixed_s0,g_abs
Ds,Ds1_2536,D_{s1}(2536),M2,4.25,9.5,9.5,0.06301127397499834
Ds,Ds1_2536,D_{s1}(2536),M2,4.3,9.5,9.5,0.062194003966300634
Ds,Ds1_2536,D_{s1}(2536),M2,4.35,9.5,9.5,0.06139998409418832
Ds,Ds1_2536,D_{s1}(2536),M2,4.4,9.5,9.5,0.060628281233388114
Ds,Ds1_2536,D_{s1}(2536),M2,4.45,9.5,9.5,0.05987801325580643
Ds,Ds1_2536,D_{s1}(2536),M2,4.5,9.5,9.5,0.05914834553775507
Ds,Ds1_2536,D_{s1}(2536),M2,3.0,10.0,10.0,0.09248852511458419
Ds,Ds1_2536,D_{s1}(2536),M2,3.05,10.0,10.0,0.09041949175973973
Ds,Ds1_2536,D_{s1}(2536),M2,3.1,10.0,10.0,0.08843670657465985
Ds,Ds1_2536,D_{s1}(2536),M2,3.15,10.0,10.0,0.08653470776616344
Ds,Ds1_2536,D_{s1}(2536),M2,3.2,10.0,10.0,0.08470849597696309
Ds,Ds1_2536,D_{s1}(2536),M2,3.25,10.0,10.0,0.08295348638228713
Ds,Ds1_2536,D_{s1}(2536),M2,3.3,10.0,10.0,0.08126546656823938
Ds,Ds1_2536,D_{s1}(2536),M2,3.35,10.0,10.0,0.07964055940244769
Ds,Ds1_2536,D_{s1}(2536),M2,3.4,10.0,10.0,0.07807519022713104
Ds,Ds1_2536,D_{s1}(2536),M2,3.45,10.0,10.0,0.07656605780448962
Ds,Ds1_2536,D_{s1}(2536),M2,3.5,10.0,10.0,0.07511010852783245
Ds,Ds1_2536,D_{s1}(2536),M2,3.55,10.0,10.0,0.07370451348195928
Ds,Ds1_2536,D_{s1}(2536),M2,3.6,10.0,10.0,0.07234664799537628
Ds,Ds1_2536,D_{s1}(2536),M2,3.65,10.0,10.0,0.0710340733767883
Ds,Ds1_2536,D_{s1}(2536),M2,3.7,10.0,10.0,0.06976452057056381
Ds,Ds1_2536,D_{s1}(2536),M2,3.75,10.0,10.0,0.06853587550174263
Ds,Ds1_2536,D_{s1}(2536),M2,3.8,10.0,10.0,0.06734616591172271
Ds,Ds1_2536,D_{s1}(2536),M2,3.85,10.0,10.0,0.06619354951184712
Ds,Ds1_2536,D_{s1}(2536),M2,3.9,10.0,10.0,0.06507630330444317
Ds,Ds1_2536,D_{s1}(2536),M2,3.95,10.0,10.0,0.06399281394003775
Ds,Ds1_2536,D_{s1}(2536),M2,4.0,10.0,10.0,0.06294156899593968
Ds,Ds1_2536,D_{s1}(2536),M2,4.05,10.0,10.0,0.06192114907559359
Ds,Ds1_2536,D_{s1}(2536),M2,4.1,10.0,10.0,0.060930220640385904
Ds,Ds1_2536,D_{s1}(2536),M2,4.15,10.0,10.0,0.05996752949619902
Ds,Ds1_2536,D_{s1}(2536),M2,4.2,10.0,10.0,0.05903189486623971
Ds,Ds1_2536,D_{s1}(2536),M2,4.25,10.0,10.0,0.05812220398967539
Ds,Ds1_2536,D_{s1}(2536),M2,4.3,10.0,10.0,0.05723740719259939
Ds,Ds1_2536,D_{s1}(2536),M2,4.35,10.0,10.0,0.05637651338393269
Ds,Ds1_2536,D_{s1}(2536),M2,4.4,10.0,10.0,0.05553858593420517
Ds,Ds1_2536,D_{s1}(2536),M2,4.45,10.0,10.0,0.05472273889982668
Ds,Ds1_2536,D_{s1}(2536),M2,4.5,10.0,10.0,0.053928133559547176
Bs,Bs1_5750,B_{s1}(5750),M2,10.0,39.0,39.0,0.4090827369916136
Bs,Bs1_5750,B_{s1}(5750),M2,10.133333333333333,39.0,39.0,0.40572002508606025
Bs,Bs1_5750,B_{s1}(5750),M2,10.266666666666667,39.0,39.0,0.4024975727283253
Bs,Bs1_5750,B_{s1}(5750),M2,10.4,39.0,39.0,0.3994072236276827
Bs,Bs1_5750,B_{s1}(5750),M2,10.533333333333333,39.0,39.0,0.3964414201299486
Bs,Bs1_5750,B_{s1}(5750),M2,10.666666666666666,39.0,39.0,0.3935931505927437
Bs,Bs1_5750,B_{s1}(5750),M2,10.8,39.0,39.0,0.39085590211760785
Bs,Bs1_5750,B_{s1}(5750),M2,10.933333333333334,39.0,39.0,0.38822361802229227
Bs,Bs1_5750,B_{s1}(5750),M2,11.066666666666666,39.0,39.0,0.38569065951545406
Bs,Bs1_5750,B_{s1}(5750),M2,11.2,39.0,39.0,0.38325177110379527
Bs,Bs1_5750,B_{s1}(5750),M2,11.333333333333334,39.0,39.0,0.38090204932013455
Bs,Bs1_5750,B_{s1}(5750),M2,11.466666666666667,39.0,39.0,0.378636914411372
Bs,Bs1_5750,B_{s1}(5750),M2,11.6,39.0,39.0,0.3764520846689779
Bs,Bs1_5750,B_{s1}(5750),M2,11.733333333333334,39.0,39.0,0.3743435531225132
Bs,Bs1_5750,B_{s1}(5750),M2,11.866666666666667,39.0,39.0,0.37230756634960815
Bs,Bs1_5750,B_{s1}(5750),M2,12.0,39.0,39.0,0.37034060518447
Bs,Bs1_5750,B_{s1}(5750),M2,12.133333333333333,39.0,39.0,0.3684393671319991
Bs,Bs1_5750,B_{s1}(5750),M2,12.266666666666666,39.0,39.0,0.3666007503164276
Bs,Bs1_5750,B_{s1}(5750),M2,12.4,39.0,39.0,0.36482183881252944
Bs,Bs1_5750,B_{s1}(5750),M2,12.533333333333333,39.0,39.0,0.3630998892242249
Bs,Bs1_5750,B_{s1}(5750),M2,12.666666666666666,39.0,39.0,0.36143231839013285
Bs,Bs1_5750,B_{s1}(5750),M2,12.8,39.0,39.0,0.35981669210861206
Bs,Bs1_5750,B_{s1}(5750),M2,12.933333333333334,39.0,39.0,0.35825071478624926
Bs,Bs1_5750,B_{s1}(5750),M2,13.066666666666666,39.0,39.0,0.35673221992385673
Bs,Bs1_5750,B_{s1}(5750),M2,13.2,39.0,39.0,0.35525916136296914
Bs,Bs1_5750,B_{s1}(5750),M2,13.333333333333334,39.0,39.0,0.35382960522373036
Bs,Bs1_5750,B_{s1}(5750),M2,13.466666666666667,39.0,39.0,0.35244172247208116
Bs,Bs1_5750,B_{s1}(5750),M2,13.6,39.0,39.0,0.3510937820603755
Bs,Bs1_5750,B_{s1}(5750),M2,13.733333333333334,39.0,39.0,0.3497841445911098
Bs,Bs1_5750,B_{s1}(5750),M2,13.866666666666667,39.0,39.0,0.3485112564583668
Bs,Bs1_5750,B_{s1}(5750),M2,14.0,39.0,39.0,0.34727364442599173
Bs,Bs1_5750,B_{s1}(5750),M2,10.0,40.0,40.0,0.41560812106136
Bs,Bs1_5750,B_{s1}(5750),M2,10.133333333333333,40.0,40.0,0.4123180737752637
Bs,Bs1_5750,B_{s1}(5750),M2,10.266666666666667,40.0,40.0,0.40916717718666124
Bs,Bs1_5750,B_{s1}(5750),M2,10.4,40.0,40.0,0.40614729612397754
Bs,Bs1_5750,B_{s1}(5750),M2,10.533333333333333,40.0,40.0,0.4032508937425373
Bs,Bs1_5750,B_{s1}(5750),M2,10.666666666666666,40.0,40.0,0.4004709788875476
Bs,Bs1_5750,B_{s1}(5750),M2,10.8,40.0,40.0,0.39780105881629957
Bs,Bs1_5750,B_{s1}(5750),M2,10.933333333333334,40.0,40.0,0.3952350966626389
Bs,Bs1_5750,B_{s1}(5750),M2,11.066666666666666,40.0,40.0,0.39276747310569093
Bs,Bs1_5750,B_{s1}(5750),M2,11.2,40.0,40.0,0.3903929517726699
Bs,Bs1_5750,B_{s1}(5750),M2,11.333333333333334,40.0,40.0,0.38810664796406447
Bs,Bs1_5750,B_{s1}(5750),M2,11.466666666666667,40.0,40.0,0.38590400033999
Bs,Bs1_5750,B_{s1}(5750),M2,11.6,40.0,40.0,0.3837807452501841
Bs,Bs1_5750,B_{s1}(5750),M2,11.733333333333334,40.0,40.0,0.381732893428015
Bs,Bs1_5750,B_{s1}(5750),M2,11.866666666666667,40.0,40.0,0.37975670880180634
Bs,Bs1_5750,B_{s1}(5750),M2,12.0,40.0,40.0,0.3778486892054417
Bs,Bs1_5750,B_{s1}(5750),M2,12.133333333333333,40.0,40.0,0.3760055487952252
Bs,Bs1_5750,B_{s1}(5750),M2,12.266666666666666,40.0,40.0,0.3742242020018285
Bs,Bs1_5750,B_{s1}(5750),M2,12.4,40.0,40.0,0.37250174886529425
Bs,Bs1_5750,B_{s1}(5750),M2,12.533333333333333,40.0,40.0,0.3708354616178462
Bs,Bs1_5750,B_{s1}(5750),M2,12.666666666666666,40.0,40.0,0.36922277239400264
Bs,Bs1_5750,B_{s1}(5750),M2,12.8,40.0,40.0,0.3676612619604711
Bs,Bs1_5750,B_{s1}(5750),M2,12.933333333333334,40.0,40.0,0.3661486493697394
Bs,Bs1_5750,B_{s1}(5750),M2,13.066666666666666,40.0,40.0,0.3646827824513792
Bs,Bs1_5750,B_{s1}(5750),M2,13.2,40.0,40.0,0.3632616290640104
Bs,Bs1_5750,B_{s1}(5750),M2,13.333333333333334,40.0,40.0,0.3618832690387877
Bs,Bs1_5750,B_{s1}(5750),M2,13.466666666666667,40.0,40.0,0.36054588675228244
Bs,Bs1_5750,B_{s1}(5750),M2,13.6,40.0,40.0,0.3592477642728668
Bs,Bs1_5750,B_{s1}(5750),M2,13.733333333333334,40.0,40.0,0.35798727503025607
Bs,Bs1_5750,B_{s1}(5750),M2,13.866666666666667,40.0,40.0,0.3567628779627908
Bs,Bs1_5750,B_{s1}(5750),M2,14.0,40.0,40.0,0.35557311210145903
Bs,Bs1_5750,B_{s1}(5750),M2,10.0,41.0,41.0,0.4215139954735218
Bs,Bs1_5750,B_{s1}(5750),M2,10.133333333333333,41.0,41.0,0.4182975759527209
Bs,Bs1_5750,B_{s1}(5750),M2,10.266666666666667,41.0,41.0,0.4152192777146467
Bs,Bs1_5750,B_{s1}(5750),M2,10.4,41.0,41.0,0.4122709818482442
Bs,Bs1_5750,B_{s1}(5750),M2,10.533333333333333,41.0,41.0,0.409445167722675
Bs,Bs1_5750,B_{s1}(5750),M2,10.666666666666666,41.0,41.0,0.4067348603234383
Bs,Bs1_5750,B_{s1}(5750),M2,10.8,41.0,41.0,0.4041335829508886
Bs,Bs1_5750,B_{s1}(5750),M2,10.933333333333334,41.0,41.0,0.40163531466389796
Bs,Bs1_5750,B_{s1}(5750),M2,11.066666666666666,41.0,41.0,0.39923445193036244
Bs,Bs1_5750,B_{s1}(5750),M2,11.2,41.0,41.0,0.3969257740141258
Bs,Bs1_5750,B_{s1}(5750),M2,11.333333333333334,41.0,41.0,0.394704411686383
Bs,Bs1_5750,B_{s1}(5750),M2,11.466666666666667,41.0,41.0,0.3925658189001457
Bs,Bs1_5750,B_{s1}(5750),M2,11.6,41.0,41.0,0.3905057471100548
Bs,Bs1_5750,B_{s1}(5750),M2,11.733333333333334,41.0,41.0,0.3885202219577421
Bs,Bs1_5750,B_{s1}(5750),M2,11.866666666666667,41.0,41.0,0.38660552207588567
Bs,Bs1_5750,B_{s1}(5750),M2,12.0,41.0,41.0,0.38475815979278627
Bs,Bs1_5750,B_{s1}(5750),M2,12.133333333333333,41.0,41.0,0.3829748635443124
Bs,Bs1_5750,B_{s1}(5750),M2,12.266666666666666,41.0,41.0,0.38125256182192935
Bs,Bs1_5750,B_{s1}(5750),M2,12.4,41.0,41.0,0.37958836850468003
Bs,Bs1_5750,B_{s1}(5750),M2,12.533333333333333,41.0,41.0,0.3779795694397735
Bs,Bs1_5750,B_{s1}(5750),M2,12.666666666666666,41.0,41.0,0.3764236101511898
Bs,Bs1_5750,B_{s1}(5750),M2,12.8,41.0,41.0,0.3749180845687097
Bs,Bs1_5750,B_{s1}(5750),M2,12.933333333333334,41.0,41.0,0.37346072468120506
Bs,Bs1_5750,B_{s1}(5750),M2,13.066666666666666,41.0,41.0,0.37204939102815093
Bs,Bs1_5750,B_{s1}(5750),M2,13.2,41.0,41.0,0.3706820639522472
Bs,Bs1_5750,B_{s1}(5750),M2,13.333333333333334,41.0,41.0,0.36935683554395904
Bs,Bs1_5750,B_{s1}(5750),M2,13.466666666666667,41.0,41.0,0.36807190221580566
Bs,Bs1_5750,B_{s1}(5750),M2,13.6,41.0,41.0,0.36682555785045934
Bs,Bs1_5750,B_{s1}(5750),M2,13.733333333333334,41.0,41.0,0.3656161874722737
Bs,Bs1_5750,B_{s1}(5750),M2,13.866666666666667,41.0,41.0,0.3644422613967885
Bs,Bs1_5750,B_{s1}(5750),M2,14.0,41.0,41.0,0.3633023298171805
Bs,Bs1_5830,B_{s1}(5830),M2,10.0,40.0,40.0,0.04431987812693721
Bs,Bs1_5830,B_{s1}(5830),M2,10.133333333333333,40.0,40.0,0.04426096940839557
Bs,Bs1_5830,B_{s1}(5830),M2,10.266666666666667,40.0,40.0,0.044197053372131985
Bs,Bs1_5830,B_{s1}(5830),M2,10.4,40.0,40.0,0.04412868194036512
Bs,Bs1_5830,B_{s1}(5830),M2,10.533333333333333,40.0,40.0,0.04405635112612363
Bs,Bs1_5830,B_{s1}(5830),M2,10.666666666666666,40.0,40.0,0.0439805070966344
Bs,Bs1_5830,B_{s1}(5830),M2,10.8,40.0,40.0,0.04390155151732988
Bs,Bs1_5830,B_{s1}(5830),M2,10.933333333333334,40.0,40.0,0.043819846269751744
Bs,Bs1_5830,B_{s1}(5830),M2,11.066666666666666,40.0,40.0,0.0437357176234918
Bs,Bs1_5830,B_{s1}(5830),M2,11.2,40.0,40.0,0.04364945993117023
Bs,Bs1_5830,B_{s1}(5830),M2,11.333333333333334,40.0,40.0,0.04356133890597658
Bs,Bs1_5830,B_{s1}(5830),M2,11.466666666666667,40.0,40.0,0.04347159453323402
