variant,M2,s0,theta_deg,f1_GeV,f2_GeV,amp_A,amp_B_low,amp_B_high,g_low_GeV_m2,g_high_GeV_m2,Gamma_low_keV,Gamma_high_keV,ratio_high_over_low
swap_assignment_and_JB_flip,7.0,54.0,43.07714202842204,0.26814895033179004,0.7406337082681362,0.0032795223902632987,-0.004320268736339123,-0.004322311609808235,-0.017980313174447014,0.4859268050981026,3.8930954831564297,3009.4102863526864,773.0121954041383
baseline,7.0,55.0,43.174846919598174,0.2726594085362706,0.7499357878963638,0.0032939127711641815,-0.004346080285330705,-0.0043481326979000435,-0.08055287923625686,0.1731129401763036,78.13807147530552,381.9431740970206,4.888054784123109
radiative_JB_sign_flip,7.0,55.0,43.174846919598174,0.2726594085362706,0.7499357878963638,0.0032939127711641815,-0.004346080285330705,-0.0043481326979000435,0.4770871031308963,-0.018445642535876834,2740.917129808684,4.336379312863795,0.0015820906315275845
alternate_rotation_c_s,7.0,55.0,43.174846919598174,0.2726594085362706,0.7499357878963638,0.0032939127711641815,-0.004346080285330705,-0.0043481326979000435,-0.050280291981555494,-0.17464162530320748,30.443608881981334,388.71850589840597,12.768476543149813
alternate_rotation_c_minus_s,7.0,55.0,43.174846919598174,0.2726594085362706,0.7499357878963638,0.0032939127711641815,-0.004346080285330705,-0.0043481326979000435,0.47291801126868704,-0.029527088590357017,2693.22266721536,11.111711114249129,0.004125804839500333
swap_eigenstate_assignment,7.0,55.0,43.174846919598174,0.2726594085362706,0.7499357878963638,0.0032939127711641815,-0.004346080285330705,-0.0043481326979000435,0.17194211467140832,-0.08121275024092736,356.0123626109328,84.05975574828415,0.23611470998311548
swap_assignment_and_JB_flip,7.0,55.0,43.174846919598174,0.2726594085362706,0.7499357878963638,0.0032939127711641815,-0.004346080285330705,-0.0043481326979000435,-0.018280758024867665,0.480342877490839,4.024287058182064,2940.643643871946,730.724126126419
baseline,8.0,53.0,43.169691306282814,0.2578642501393162,0.7089852374460419,0.0063286535469308765,-0.008400786723061819,-0.00840473037639686,-0.07783537772581403,0.16419972765524685,72.95492687029467,343.6248416512357,4.710097815081914
radiative_JB_sign_flip,8.0,53.0,43.169691306282814,0.2578642501393162,0.7089852374460419,0.0063286535469308765,-0.008400786723061819,-0.00840473037639686,0.45289235548770584,-0.01797112653904788,2469.963480626031,4.116141463284572,0.0016664786728916756
alternate_rotation_c_s,8.0,53.0,43.169691306282814,0.2578642501393162,0.7089852374460419,0.0063286535469308765,-0.008400786723061819,-0.00840473037639686,-0.04901985833996726,-0.1656851597746201,28.936410414310977,349.8701648528765,12.091000916956943
alternate_rotation_c_minus_s,8.0,53.0,43.169691306282814,0.2578642501393162,0.7089852374460419,0.0063286535469308765,-0.008400786723061819,-0.00840473037639686,0.4488385969868822,-0.028512856688985375,2425.944964170048,10.361464664925238,0.004271104587267522
swap_eigenstate_assignment,8.0,53.0,43.169691306282814,0.2578642501393162,0.7089852374460419,0.0063286535469308765,-0.008400786723061819,-0.00840473037639686,0.16324659828253985,-0.07839471527745163,320.9141245244366,78.32731906877231,0.24407563607505825
swap_assignment_and_JB_flip,8.0,53.0,43.169691306282814,0.2578642501393162,0.7089852374460419,0.0063286535469308765,-0.008400786723061819,-0.00840473037639686,-0.017828959398795915,0.455543303426628,3.8278291355077423,2644.837667385218,690.9497717260031
baseline,8.0,54.0,43.28944792015294,0.26361499337400185,0.7211454286763629,0.0063727364279643406,-0.008478425321929092,-0.008482397991849378,-0.07633320554692927,0.16281825470837222,70.16613471831839,337.8670796776672,4.815244291766007
radiative_JB_sign_flip,8.0,54.0,43.28944792015294,0.26361499337400185,0.7211454286763629,0.0063727364279643406,-0.008478425321929092,-0.008482397991849378,0.4465861830404326,-0.018338168718556598,2401.657740723202,4.285994565189019,0.0017845984015600798
alternate_rotation_c_s,8.0,54.0,43.28944792015294,0.26361499337400185,0.7211454286763629,0.0063727364279643406,-0.008478425321929092,-0.008482397991849378,-0.04977229406814284,-0.16420519519508997,29.831553390997914,343.64772614464624,11.519605487535447
