index,normalization,mb,mc,M2,s0,M2_vector,s0_vector,theta_deg,f_Bcstar_used_GeV,theta_sumrule_deg,Pi_1,Pi_2,f1_GeV,f2_GeV,int_A,int_B_1,int_B_2,g1_GeV_inv,g2_GeV_inv,Gamma1_keV,Gamma2_keV
2917,projector_diagnostic,4.1619633958602416,1.2820944508931547,7.058599240047874,53.89987767797425,7.4322339038529,41.867402939340025,43.529013419360155,0.7172988181715062,43.017368403718784,0.00533965782481975,0.039315169515417234,0.2714313640098708,0.7412921908170338,0.003444459165440675,-0.004530118915804664,-0.004532291204280992,-0.04718167687855918,0.1071061571040629,26.806943306230863,146.20713352822816
2918,standard_vector_invariant,4.1619633958602416,1.2820944508931547,7.058599240047874,53.89987767797425,7.4322339038529,41.867402939340025,43.529013419360155,0.4141326657607195,43.017368403718784,0.00533965782481975,0.039315169515417234,0.2714313640098708,0.7412921908170338,0.003444459165440675,-0.004530118915804664,-0.004532291204280992,-0.08172106153996225,0.18551330590769116,80.42082991869259,438.62140058468424
2919,reference_f_Bcstar_0p384,4.1619633958602416,1.2820944508931547,7.058599240047874,53.89987767797425,7.4322339038529,41.867402939340025,43.529013419360155,0.37800437294368117,43.017368403718784,0.00533965782481975,0.039315169515417234,0.2714313640098708,0.7412921908170338,0.003444459165440675,-0.004530118915804664,-0.004532291204280992,-0.08953166546933757,0.2032439977118531,96.52812679237506,526.4718383569734
2920,projector_diagnostic,4.165338443412277,1.2721413922174567,7.435594498028426,54.72562142604364,5.695488539839975,40.05001026331165,43.3793634601464,0.7521182702969874,43.258245188744326,0.007539797094666867,0.055356101162358125,0.2739455147257334,0.7468007869379498,0.004570927226209261,-0.006056583082659846,-0.006059456450268311,-0.04537802099276282,0.0992666788572127,24.79657252550975,125.58757420366965
2921,standard_vector_invariant,4.165338443412277,1.2721413922174567,7.435594498028426,54.72562142604364,5.695488539839975,40.05001026331165,43.3793634601464,0.43423568581840133,43.258245188744326,0.007539797094666867,0.055356101162358125,0.2739455147257334,0.7468007869379498,0.004570927226209261,-0.006056583082659846,-0.006059456450268311,-0.07859703790639233,0.1719349312793157,74.38971757652928,376.7627226110091
2922,reference_f_Bcstar_0p384,4.165338443412277,1.2721413922174567,7.435594498028426,54.72562142604364,5.695488539839975,40.05001026331165,43.3793634601464,0.37530274842671985,43.258245188744326,0.007539797094666867,0.055356101162358125,0.2739455147257334,0.7468007869379498,0.004570927226209261,-0.006056583082659846,-0.006059456450268311,-0.09093895209041129,0.1989334826701682,99.58649390634147,504.37721504774186
2923,projector_diagnostic,4.174684501516193,1.2734685027270773,8.305596470891288,53.15540282736036,5.099104448080894,43.97777055948775,43.27162265541597,0.8549768459560153,43.222773421882366,0.012768783648355514,0.09430015415188127,0.2588031919523933,0.7070636140392766,0.007538017160870331,-0.01002970020350722,-0.01003441591440543,-0.039107211324163005,0.08332539711850799,18.416803235736154,88.49005643433465
2924,standard_vector_invariant,4.174684501516193,1.2734685027270773,8.305596470891288,53.15540282736036,5.099104448080894,43.97777055948775,43.27162265541597,0.4936211121636026,43.222773421882366,0.012768783648355514,0.09430015415188127,0.2588031919523933,0.7070636140392766,0.007538017160870331,-0.01002970020350722,-0.01003441591440543,-0.06773567695578331,0.14432382137010918,55.25040970720851,265.47016930300396
2925,reference_f_Bcstar_0p384,4.174684501516193,1.2734685027270773,8.305596470891288,53.15540282736036,5.099104448080894,43.97777055948775,43.27162265541597,0.3055191926438899,43.222773421882366,0.012768783648355514,0.09430015415188127,0.2588031919523933,0.7070636140392766,0.007538017160870331,-0.01002970020350722,-0.01003441591440543,-0.10943914816847738,0.23318104699056513,144.22679734434806,692.9887490777961
2926,projector_diagnostic,4.193566593772781,1.2760984671644537,8.245369571993711,53.98154617078963,6.818024067168965,40.47539296982028,43.34406298926484,0.6807914189929108,43.265613248365526,0.012157666099051646,0.0898917654293185,0.2576338821140513,0.7043132610251891,0.007117949125748513,-0.009472490737658839,-0.009476901045447298,-0.04804963505525372,0.1030421943874388,27.802300862971585,135.32246042886072
2927,standard_vector_invariant,4.193566593772781,1.2760984671644537,8.245369571993711,53.98154617078963,6.818024067168965,40.47539296982028,43.34406298926484,0.3930551090175444,43.265613248365526,0.012157666099051646,0.0898917654293185,0.2576338821140513,0.7043132610251891,0.007117949125748513,-0.009472490737658839,-0.009476901045447298,-0.08322440920084205,0.1784743160024326,83.40690258891479,405.96738128658217
2928,reference_f_Bcstar_0p384,4.193566593772781,1.2760984671644537,8.245369571993711,53.98154617078963,6.818024067168965,40.47539296982028,43.34406298926484,0.4001481325037662,43.265613248365526,0.012157666099051646,0.0898917654293185,0.2576338821140513,0.7043132610251891,0.007117949125748513,-0.009472490737658839,-0.009476901045447298,-0.08174917380390327,0.17531068130752195,80.47616939708507,391.7025897380839
2929,projector_diagnostic,4.1669139670893225,1.289677829810118,8.57093344418206,54.172100975172036,6.872527644817001,41.22152538735638,43.28312413974093,0.7115830436483576,43.28659065264812,0.01577025933177241,0.11262266291564177,0.26424896540260767,0.7097850094582081,0.008599158604317777,-0.011457942973568775,-0.011463367636396325,-0.04492222242635838,0.0970549275558167,24.300936999889814,120.05351146525794
2930,standard_vector_invariant,4.1669139670893225,1.289677829810118,8.57093344418206,54.172100975172036,6.872527644817001,41.22152538735638,43.28312413974093,0.41083266180115247,43.28659065264812,0.01577025933177241,0.11262266291564177,0.26424896540260767,0.7097850094582081,0.008599158604317777,-0.011457942973568775,-0.011463367636396325,-0.07780757163136276,0.1681040656515912,72.90281099966946,360.1605343957738
2931,reference_f_Bcstar_0p384,4.1669139670893225,1.289677829810118,8.57093344418206,54.172100975172036,6.872527644817001,41.22152538735638,43.28312413974093,0.37911752421572575,43.28659065264812,0.01577025933177241,0.11262266291564177,0.26424896540260767,0.7097850094582081,0.008599158604317777,-0.011457942973568775,-0.011463367636396325,-0.08431657657536124,0.18216683835469663,85.61039123594152,422.9395798950437
2932,projector_diagnostic,4.190596084148446,1.2721094992765887,8.656265357903647,53.961171661779346,6.434829974287866,41.54714963574578,43.42214470101179,0.7263727103271423,43.364317893601715,0.015843811470197033,0.1167680922436362,0.2580287054238396,0.7040335745293104,0.008943166690472055,-0.01195283725509438,-0.011958384476519892,-0.04445998975835866,0.09509660277983033,23.80341500333936,115.25763206108795
2933,standard_vector_invariant,4.190596084148446,1.2721094992765887,8.656265357903647,53.961171661779346,6.434829974287866,41.54714963574578,43.42214470101179,0.4193714798393737,43.364317893601715,0.015843811470197033,0.1167680922436362,0.2580287054238396,0.7040335745293104,0.008943166690472055,-0.01195283725509438,-0.011958384476519892,-0.07700696116546915,0.16471214764186187,71.41024501001813,345.7728961832638
2934,reference_f_Bcstar_0p384,4.190596084148446,1.2721094992765887,8.656265357903647,53.961171661779346,6.434829974287866,41.54714963574578,43.42214470101179,0.36060362211108776,43.364317893601715,0.015843811470197033,0.1167680922436362,0.2580287054238396,0.7040335745293104,0.008943166690472055,-0.01195283725509438,-0.011958384476519892,-0.0895568465808347,0.19155541671960677,96.58243221225668,467.65820929154773
2935,projector_diagnostic,4.195576367397743,1.2880430020236178,8.381457159054074,53.795115143218126,6.008941553749959,40.50076318177019,43.36152855995778,0.705663754440638,43.17448864993188,0.012908836562881745,0.09451850428393538,0.25385109437888753,0.6905192450035231,0.007486126564979254,-0.009942419244087425,-0.009947063933943867,-0.04508511621905634,0.09790521321567679,24.477493213957704,122.16627246903629
2936,standard_vector_invariant,4.195576367397743,1.2880430020236178,8.381457159054074,53.795115143218126,6.008941553749959,40.50076318177019,43.36152855995778,0.40741515858366434,43.17448864993188,0.012908836562881745,0.09451850428393538,0.25385109437888753,0.6905192450035231,0.007486126564979254,-0.009942419244087425,-0.009947063933943867,-0.07808971195655322,0.1695768036154161,73.4324796418731,366.49881740710896
2937,reference_f_Bcstar_0p384,4.195576367397743,1.2880430020236178,8.381457159054074,53.795115143218126,6.008941553749959,40.50076318177019,43.36152855995778,0.41164223439431413,43.17448864993188,0.012908836562881745,0.09451850428393538,0.25385109437888753,0.6905192450035231,0.007486126564979254,-0.009942419244087425,-0.009947063933943867,-0.07728782355713314,0.1678354516725943,71.93209465020453,359.0104508452865
2938,projector_diagnostic,4.186870017838818,1.2790961275985497,8.085640296676646,54.03128552821843,6.265278921592072,40.9208342354805,43.332492198722,0.7179286071330543,43.232037773694984,0.011103961761213525,0.08168777460340153,0.25999902728325547,0.7090803949068667,0.00653264608195837,-0.00867901701311397,-0.008683081796085146,-0.04570179829578104,0.09861180217785045,25.151687604019813,123.93600117883885
2939,standard_vector_invariant,4.186870017838818,1.2790961275985497,8.085640296676646,54.03128552821843,6.265278921592072,40.9208342354805,43.332492198722,0.41449627458720195,43.232037773694984,0.011103961761213525,0.08168777460340153,0.25999902728325547,0.7090803949068667,0.00653264608195837,-0.00867901701311397,-0.008683081796085146,-0.0791578366455575,0.17080065159796826,75.45506281205945,371.80800353651654
2940,reference_f_Bcstar_0p384,4.186870017838818,1.2790961275985497,8.085640296676646,54.03128552821843,6.265278921592072,40.9208342354805,43.332492198722,0.3528552925273601,43.232037773694984,0.011103961761213525,0.08168777460340153,0.25999902728325547,0.7090803949068667,0.00653264608195837,-0.00867901701311397,-0.008683081796085146,-0.0929860741465902,0.20063815191020548,104.12053149201185,513.0583091240726
2941,projector_diagnostic,4.20081415018387,1.2528200763560473,7.9061712013593235,53.392221450763415,5.857953287752366,42.531042423630545,43.14133184372098,0.7756407845076275,43.29374451964782,0.009513813359661675,0.07300047786882956,0.25652432588603197,0.7146017975247749,0.006003084548967965,-0.007994104877355338,-0.007997790363863931,-0.04565614331115641,0.09393633583355225,25.10146085619777,112.46228913476291
2942,standard_vector_invariant,4.20081415018387,1.2528200763560473,7.9061712013593235,53.392221450763415,5.857953287752366,42.531042423630545,43.14133184372098,0.4478164157299312,43.29374451964782,0.009513813359661675,0.07300047786882956,0.25652432588603197,0.7146017975247749,0.006003084548967965,-0.007994104877355338,-0.007997790363863931,-0.07907875989256888,0.1627025063405655,75.30438256859337,337.3868674042889
2943,reference_f_Bcstar_0p384,4.20081415018387,1.2528200763560473,7.9061712013593235,53.392221450763415,5.857953287752366,42.531042423630545,43.14133184372098,0.37243716167979446,43.29374451964782,0.009513813359661675,0.07300047786882956,0.25652432588603197,0.7146017975247749,0.006003084548967965,-0.007994104877355338,-0.007997790363863931,-0.0950838704057798,0.19563260790380282,108.87151206911791,487.7779639599276
