M2,s0_root,GA,GB,G2460,G2536,Gamma2460_keV,Gamma2536_keV,plot_M2
4.5,2.5966666666666667,-0.38567590289053877,-0.27903799366395604,-0.4505991567159944,-0.15352036980568098,42.679124202547214,7.313616427034566,4.5
4.5,2.6,-0.38773355257251685,-0.2802004706201756,-0.45273692641460844,-0.1545279488860382,43.0850484785822,7.409932362801103,4.5
5.5,2.5,-0.32958867499392275,-0.24395911778992535,-0.38955953522684705,-0.12801607067447132,31.899393629124244,5.085447196962635,5.5
5.5,2.5033333333333334,-0.33173935697447177,-0.245215720387402,-0.3918278838225246,-0.1290451856913334,32.2719662707483,5.167539172098239,5.5
5.5,2.506666666666667,-0.33389264002509916,-0.24647234789664488,-0.3940977557978073,-0.13007640914380686,32.64695444317673,5.2504586488711755,5.5
5.5,2.51,-0.3360484886296532,-0.2477289807312142,-0.3963691146441864,-0.1311097233639987,33.02435642393187,5.3342082378664575,5.5
5.5,2.513333333333333,-0.3382068673350947,-0.24898559937735446,-0.3986419239489435,-0.13214511069352347,33.404170369978495,5.418790513311912,5.5
5.5,2.5166666666666666,-0.3403677407522102,-0.2502421843942389,-0.4009161473957622,-0.13318255348394362,33.78639431805937,5.504208012916905,5.5
5.5,2.52,-0.34253107355632445,-0.25149871641421356,-0.40319174876533925,-0.13422203409721042,34.17102618504079,5.590463237714925,5.5
5.5,2.5233333333333334,-0.3446968304880053,-0.2527551761430364,-0.4054686919359867,-0.13526353490610074,34.558063768266344,5.677558651909653,5.5
5.5,2.526666666666667,-0.34686497635376073,-0.25401154436011336,-0.4077469408842276,-0.1363070382946496,34.9475047459195,5.765496682724504,5.5
5.5,2.5300000000000002,-0.34903547602673163,-0.2552678019187314,-0.4100264596853862,-0.13735252665858097,35.339346677394886,5.85427972025584,5.5
5.5,2.533333333333333,-0.3512082944473765,-0.25652392974628624,-0.41230721251417,-0.13839998240573503,35.7335870036778,5.9439101173296685,5.5
5.5,2.5366666666666666,-0.35338339662415336,-0.25777990884451046,-0.41458916364524945,-0.13944938795649264,36.130223047732905,6.034390189361936,5.5
5.5,2.54,-0.35556074763419093,-0.2590357202896933,-0.4168722774538254,-0.1405007257441963,36.52925201490029,6.125722214222305,5.5
5.5,2.5433333333333334,-0.3577403126239574,-0.2602913452329008,-0.4191565184161952,-0.14155397821556884,36.93067099330057,6.2179084321015266,5.5
5.5,2.546666666666667,-0.35992205680992245,-0.26154676490019163,-0.42144185111031146,-0.14260912783112875,37.33447695424811,6.310951045382308,5.5
5.5,2.55,-0.36210594547921204,-0.26280196059282807,-0.4237282402163325,-0.14366615706560285,37.74066675267192,6.404852218513732,5.5
5.5,2.5533333333333332,-0.3642919439902582,-0.2640569136874858,-0.42601565051716916,-0.1447250484083352,38.14923712754513,6.499614077889117,5.5
5.5,2.5566666666666666,-0.36648001777344247,-0.26531160563645806,-0.428304046899023,-0.14578578436369458,38.560184702321855,6.595238711727503,5.5
5.5,2.56,-0.3686701323317331,-0.26656601796785895,-0.43059339435192096,-0.14684834745147668,38.97350598538249,6.691728169958436,5.5
5.5,2.5633333333333335,-0.3708622532413179,-0.26782013228582063,-0.4328836579702413,-0.14791272020730686,39.38919737048629,6.789084464110563,5.5
5.5,2.566666666666667,-0.3730563461522287,-0.26907393027068954,-0.4351748029532352,-0.14897888518303642,39.80725513723193,6.887309567203353,5.5
5.5,2.5700000000000003,-0.3752523767889621,-0.2703273936792175,-0.437466794605541,-0.1500468249471386,40.22767545152546,6.986405413642559,5.5
5.5,2.5733333333333333,-0.3774503109510927,-0.27158050434475056,-0.43975959833769307,-0.15111652208510012,40.650454366055875,7.086373899118974,5.5
5.5,2.5766666666666667,-0.3796501145138826,-0.2728332441774148,-0.44205317966662516,-0.15218795919981126,41.0755878207783,7.187216880510788,5.5
5.5,2.58,-0.38185175342888245,-0.27408559516429726,-0.44434750421616603,-0.1532611189119517,41.50307164340405,7.288936175789247,5.5
5.5,2.5833333333333335,-0.3840551937245274,-0.27533753936962413,-0.4466425377175286,-0.15433598386037406,41.93290154989798,7.391533563927791,5.5
5.5,2.586666666666667,-0.3862604015067305,-0.2765890589349375,-0.4489382460097976,-0.1554125367024858,42.36507314498375,7.495010784814753,5.5
5.5,2.59,-0.3884673429594651,-0.2778401360792658,-0.4512345950404047,-0.15649076011462662,42.79958192265505,7.599369539169274,5.5
5.5,2.5933333333333333,-0.3906759843453461,-0.27909075309929393,-0.453531550865604,-0.1575706367924438,43.236423266694864,7.70461148846073,5.5
5.5,2.5966666666666667,-0.3928862920062014,-0.2803408923695268,-0.4558290796509349,-0.15865214945126463,43.67559245120046,7.810738254831512,5.5
5.5,2.6,-0.3950982323636417,-0.2815905363424527,-0.4581271476716853,-0.1597352808264669,44.11708464111631,7.917751421023268,5.5
