sector,scenario,ensemble,window_id,M2,s0,theta_deg,f1_GeV,f2_GeV,rho_AB,f1_target_clipped,GA_basis,GB_basis,chi_effective,fperp_s_used_GeV,state,state_key,g_GeV_inv,Gamma_keV,g_low_GeV_inv,g_high_GeV_inv,quoted_combo
Ds,legacy_chi_condensate,theta_fixed,central,3.7068099921445183,7.934379466321166,35.3,0.3263241583809613,0.40584599598212234,-0.6245959136472733,0,-0.4926751612474204,-0.322494198203373,3.790490863675133,-0.037514271828104136,D_{s1}(2460),Ds1_2460,-0.5683461347731279,67.50384991315416,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.7068099921445183,7.934379466321166,35.3,0.3263241583809613,0.40584599598212234,-0.6245959136472733,0,-0.4926751612474204,-0.322494198203373,3.790490863675133,-0.037514271828104136,D_{s1}(2536),Ds1_2536,0.008978748605148053,0.02501950023294246,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.4889915574244217,8.511806326529134,35.3,0.350993593781759,0.37648212904065365,-0.30412553628579403,0,-0.4955251553919632,-0.3759290697681222,3.1581035652207534,-0.0345114973061618,D_{s1}(2460),Ds1_2460,-0.5975579297702082,74.77707680739519,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.4889915574244217,8.511806326529134,35.3,0.350993593781759,0.37648212904065365,-0.30412553628579403,0,-0.4955251553919632,-0.3759290697681222,3.1581035652207534,-0.0345114973061618,D_{s1}(2536),Ds1_2536,-0.010277900845714397,0.03278340415620404,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.136253805074387,8.222534326430708,35.3,0.3415739698250525,0.3563252003825025,-0.35571515757378597,0,-0.6932730148524,-0.421247826377389,3.59335882476911,-0.026521031102128348,D_{s1}(2460),Ds1_2460,-0.6945017269245116,101.48119119589242,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.136253805074387,8.222534326430708,35.3,0.3415739698250525,0.3563252003825025,-0.35571515757378597,0,-0.6932730148524,-0.421247826377389,3.59335882476911,-0.026521031102128348,D_{s1}(2536),Ds1_2536,-0.024493008176461415,0.18610923051707623,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.283554865712112,8.410419649240502,35.3,0.3531025393177834,0.4007027612280861,-0.38741496683874277,0,-0.3610741981331413,-0.3077608203593932,3.0015992603284514,-0.046651673732237345,D_{s1}(2460),Ds1_2460,-0.4844846546158419,49.37479871702413,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.283554865712112,8.410419649240502,35.3,0.3531025393177834,0.4007027612280861,-0.38741496683874277,0,-0.3610741981331413,-0.3077608203593932,3.0015992603284514,-0.046651673732237345,D_{s1}(2536),Ds1_2536,0.020785094988626292,0.13418674962193924,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.457786514385464,8.054479968397166,35.3,0.34036832343922174,0.41620509593252286,-0.656802883961557,0,-0.5705023582190348,-0.3196390887273722,3.487125201359944,-0.038601270607853184,D_{s1}(2460),Ds1_2460,-0.5788639160847312,70.071092855759,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.457786514385464,8.054479968397166,35.3,0.34036832343922174,0.41620509593252286,-0.656802883961557,0,-0.5705023582190348,-0.3196390887273722,3.487125201359944,-0.038601270607853184,D_{s1}(2536),Ds1_2536,-0.007472748777349435,0.017317747602959288,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.430934532965879,8.20928061055612,35.3,0.31433375974623395,0.4244719024201554,-0.7247788505007332,0,-0.5875195816560079,-0.3497801219239002,2.954448452546857,-0.03275196300640927,D_{s1}(2460),Ds1_2460,-0.6716095725504443,94.33941473787203,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.430934532965879,8.20928061055612,35.3,0.31433375974623395,0.4244719024201554,-0.7247788505007332,0,-0.5875195816560079,-0.3497801219239002,2.954448452546857,-0.03275196300640927,D_{s1}(2536),Ds1_2536,-0.01563026791136994,0.07585170435601789,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.238837457233808,8.644925418522671,35.3,0.3449478434984969,0.4082234932811157,-0.5206337990722782,0,-0.3564212322059878,-0.2716550859250097,2.9928600472069955,-0.054201702598302065,D_{s1}(2460),Ds1_2460,-0.4467070362972243,42.002460280765206,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.238837457233808,8.644925418522671,35.3,0.3449478434984969,0.4082234932811157,-0.5206337990722782,0,-0.3564212322059878,-0.2716550859250097,2.9928600472069955,-0.054201702598302065,D_{s1}(2536),Ds1_2536,0.023731615747210222,0.1747529448340717,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.213674389687814,8.407537019393226,35.3,0.3801066420648751,0.3236476375140753,-0.058357817234240716,0,-0.5582700644697974,-0.3641009165384294,2.913775067546399,-0.03877855774776958,D_{s1}(2460),Ds1_2460,-0.537120740696002,60.58084687479572,,,
