fB_scheme,include_vector_da_diagnostic,M2,s0_root,s0,GA_stage1_full,GB_tensor_DA_soft2p,GB_vector_DA_diagnostic,GB_soft2p_estimate,G2460_partial,G2536_partial,Gamma2460_keV_partial,Gamma2536_keV_partial,fB
fB_equal_fT,True,3.75,2.55,6.5024999999999995,-0.35203015056587755,0.2859421679998244,-1.2684947712358523e-15,0.28594216799982314,0.029944845376306317,-0.45253890062983826,0.18848591380807878,63.549479613197136,0.256
fB_converted_fT_M_over_msum,False,3.75,2.55,6.5024999999999995,-0.35203015056587755,0.1584627668159222,-7.02971487373233e-16,0.1584627668159222,-0.07409588589078453,-0.37887395670387747,1.1540455197695854,44.54404687394959,0.4619457079970653
fB_converted_fT_M_over_msum,True,3.75,2.55,6.5024999999999995,-0.35203015056587755,0.1584627668159222,-7.02971487373233e-16,0.1584627668159215,-0.07409588589078511,-0.378873956703877,1.1540455197696036,44.5440468739495,0.4619457079970653
fB_equal_fT,False,4.0,2.55,6.5024999999999995,-0.3544775602984657,0.2771792349086965,-1.1996339416181026e-15,0.2771792349086965,0.021378831907314044,-0.44947259601226147,0.09607329700466166,62.691202496457194,0.256
fB_equal_fT,True,4.0,2.55,6.5024999999999995,-0.3544775602984657,0.2771792349086965,-1.1996339416181026e-15,0.2771792349086953,0.021378831907313045,-0.44947259601226075,0.09607329700465268,62.69120249645701,0.256
fB_converted_fT_M_over_msum,False,4.0,2.55,6.5024999999999995,-0.3544775602984657,0.15360654489959477,-6.648103526836648e-16,0.15360654489959477,-0.07947348551643693,-0.37806517492492264,1.3276367660608854,44.354073612050435,0.4619457079970653
fB_converted_fT_M_over_msum,True,4.0,2.55,6.5024999999999995,-0.3544775602984657,0.15360654489959477,-6.648103526836648e-16,0.1536065448995941,-0.07947348551643749,-0.37806517492492225,1.3276367660609039,44.354073612050335,0.4619457079970653
fB_equal_fT,False,4.25,2.55,6.5024999999999995,-0.3565308687627079,0.26983195529294424,-1.1419854368894923e-15,0.26983195529294424,0.014195920876795387,-0.4469026966895193,0.0423605792181327,61.97636693273208,0.256
fB_equal_fT,True,4.25,2.55,6.5024999999999995,-0.3565308687627079,0.26983195529294424,-1.1419854368894923e-15,0.26983195529294307,0.014195920876794443,-0.44690269668951865,0.04236057921812707,61.9763669327319,0.256
fB_converted_fT_M_over_msum,False,4.25,2.55,6.5024999999999995,-0.3565308687627079,0.1495348465396556,-6.328628381705134e-16,0.1495348465396556,-0.08398307155472456,-0.3773880952051397,1.4825804130325007,44.1953477936774,0.4619457079970653
fB_converted_fT_M_over_msum,True,4.25,2.55,6.5024999999999995,-0.3565308687627079,0.1495348465396556,-6.328628381705134e-16,0.14953484653965496,-0.08398307155472508,-0.3773880952051394,1.4825804130325189,44.19534779367732,0.4619457079970653
fB_equal_fT,False,4.5,2.55,6.5024999999999995,-0.35828115064776883,0.2635898573860869,-1.0930722041599115e-15,0.2635898573860869,0.008090096401945635,-0.4447241236615281,0.013757583047119753,61.373591685481976,0.256
fB_equal_fT,True,4.5,2.55,6.5024999999999995,-0.35828115064776883,0.2635898573860869,-1.0930722041599115e-15,0.2635898573860858,0.008090096401944719,-0.44472412366152747,0.013757583047116637,61.37359168548181,0.256
fB_converted_fT_M_over_msum,False,4.5,2.55,6.5024999999999995,-0.35828115064776883,0.14607561521335086,-6.057562164138887e-16,0.14607561521335086,-0.08781769400500752,-0.3768176228483629,1.62105894631396,44.0618344755971,0.4619457079970653
fB_converted_fT_M_over_msum,True,4.5,2.55,6.5024999999999995,-0.35828115064776883,0.14607561521335086,-6.057562164138887e-16,0.14607561521335025,-0.08781769400500802,-0.3768176228483625,1.6210589463139788,44.06183447559701,0.4619457079970653
fB_equal_fT,False,4.75,2.55,6.5024999999999995,-0.3597932696797829,0.2582258058590703,-1.0510862842702127e-15,0.2582258058590703,0.0028385028039957516,-0.44285856277175784,0.001693609982389987,60.85976291917221,0.256
fB_equal_fT,True,4.75,2.55,6.5024999999999995,-0.3597932696797829,0.2582258058590703,-1.0510862842702127e-15,0.25822580585906924,0.002838502803994891,-0.44285856277175717,0.0016936099823889605,60.85976291917203,0.256
fB_converted_fT_M_over_msum,False,4.75,2.55,6.5024999999999995,-0.3597932696797829,0.14310297759134488,-5.824885568043503e-16,0.14310297759134488,-0.09111756482163783,-0.37633395871665976,1.7451749015071518,43.94879596213393,0.4619457079970653
fB_converted_fT_M_over_msum,True,4.75,2.55,6.5024999999999995,-0.3597932696797829,0.14310297759134488,-5.824885568043503e-16,0.1431029775913443,-0.0911175648216383,-0.3763339587166594,1.7451749015071703,43.94879596213386,0.4619457079970653
fB_equal_fT,False,5.0,2.55,6.5024999999999995,-0.36111463068747884,0.25357008301238665,-1.0146796148717942e-15,0.25357008301238665,-0.0017247661530379599,-0.44124663021623206,0.0006253097373376656,60.417530097639585,0.256
fB_equal_fT,True,5.0,2.55,6.5024999999999995,-0.36111463068747884,0.25357008301238665,-1.0146796148717942e-15,0.25357008301238565,-0.0017247661530387648,-0.44124663021623145,0.0006253097373382493,60.41753009763942,0.256
fB_converted_fT_M_over_msum,False,5.0,2.55,6.5024999999999995,-0.36111463068747884,0.14052287991294285,-5.623127932792255e-16,0.14052287991294285,-0.09398683805592045,-0.37592144198998784,1.8568158212459487,43.85250022965562,0.4619457079970653
fB_converted_fT_M_over_msum,True,5.0,2.55,6.5024999999999995,-0.36111463068747884,0.14052287991294285,-5.623127932792255e-16,0.1405228799129423,-0.0939868380559209,-0.3759214419899875,1.8568158212459664,43.85250022965553,0.4619457079970653
fB_equal_fT,False,5.25,2.55,6.5024999999999995,-0.36228067240066963,0.2494935021705094,-9.82828050726377e-16,0.2494935021705094,-0.005725623111411116,-0.43984259736907405,0.006890968491407919,60.03364847371582,0.256
fB_equal_fT,True,5.25,2.55,6.5024999999999995,-0.36228067240066963,0.2494935021705094,-9.82828050726377e-16,0.24949350217050842,-0.005725623111411893,-0.4398425973690735,0.006890968491409789,60.03364847371567,0.256
fB_converted_fT_M_over_msum,False,5.25,2.55,6.5024999999999995,-0.36228067240066963,0.1382637298062225,-5.446613674080307e-16,0.1382637298062225,-0.09650442147396503,-0.37556762534992916,1.9576235134399627,43.76999127506718,0.4619457079970653
fB_converted_fT_M_over_msum,True,5.25,2.55,6.5024999999999995,-0.36228067240066963,0.1382637298062225,-5.446613674080307e-16,0.13826372980622195,-0.09650442147396547,-0.3755676253499288,1.9576235134399809,43.769991275067106,0.4619457079970653
fB_equal_fT,False,5.5,2.55,6.5024999999999995,-0.3633184222449756,0.2458961049358388,-9.547405497242972e-16,0.2458961049358388,-0.00926126588081122,-0.4386107606061214,0.018029158412734406,59.69785516947006,0.256
fB_equal_fT,True,5.5,2.55,6.5024999999999995,-0.3633184222449756,0.2458961049358388,-9.547405497242972e-16,0.24589610493583786,-0.00926126588081197,-0.43861076060612086,0.018029158412737323,59.69785516946991,0.256
fB_converted_fT_M_over_msum,False,5.5,2.55,6.5024999999999995,-0.3633184222449756,0.13627013255846646,-5.290959013109237e-16,0.13627013255846646,-0.0987311427870741,-0.37526255663740127,2.0490052796189646,43.69891256215757,0.4619457079970653
fB_converted_fT_M_over_msum,True,5.5,2.55,6.5024999999999995,-0.3633184222449756,0.13627013255846646,-5.290959013109237e-16,0.13627013255846593,-0.09873114278707452,-0.37526255663740093,2.049005279618982,43.698912562157496,0.4619457079970653
fB_equal_fT,False,5.75,2.55,6.5024999999999995,-0.36424886062550854,0.24269941341154996,-9.297970527278899e-16,0.24269941341154996,-0.012407866909883963,-0.43752289377361525,0.032361526754798,59.402090521535406,0.256
fB_equal_fT,True,5.75,2.55,6.5024999999999995,-0.36424886062550854,0.24269941341154996,-9.297970527278899e-16,0.24269941341154905,-0.012407866909884713,-0.43752289377361475,0.03236152675480191,59.40209052153527,0.256
