group,M2,s0_root,theta_deg,GA,GB,G2460,G2536,Gamma2460_keV,Gamma2536_keV
borel_threshold,5.397384117832331,2.561362252305192,35.3,-0.3690993752670329,-0.2670438737428443,-0.43123143171539907,-0.14692253614332026,39.08909055542013,6.698491282688868
borel_threshold,3.6914655053678134,2.554835730685056,35.3,-0.3525153484998882,-0.26385280440856634,-0.41904387376876806,-0.1352316722485068,36.91082407100289,5.674884157253209
borel_threshold,4.00577150703554,2.533708195203469,35.3,-0.34338419673402126,-0.2569179734375658,-0.4081075918651733,-0.13178674100205948,35.00935401878468,5.389439490419117
borel_threshold,3.9804846992391347,2.5219218613429084,35.3,-0.3362228318481636,-0.25289578818593095,-0.40068668598676294,-0.128266332336771,33.74773059696609,5.105349955588657
borel_threshold,4.748863137285284,2.58305833852935,35.3,-0.37922506779328874,-0.27455761134707385,-0.4432148840446697,-0.15084462387737022,41.29176267407989,7.060896354349985
borel_threshold,4.516461190491163,2.554240700388073,35.3,-0.35961873779745357,-0.26414260019122565,-0.4233851346650054,-0.1408615545686991,37.67957198279869,6.157226327636224
borel_threshold,4.635249933707218,2.5271523285203177,35.3,-0.3435742644470538,-0.2544840904299011,-0.4062310405298858,-0.1333483002601624,34.688135749710455,5.517916601545777
borel_threshold,5.108468493671523,2.533037354204492,35.3,-0.3495058522015763,-0.2564956370227889,-0.4113003525271899,-0.1370269044599845,35.55927625874372,5.8265550927874035
borel_threshold,4.162031268547563,2.5493910258502757,35.3,-0.3540075049322312,-0.2623199944649269,-0.4186551439265176,-0.13733522311588472,36.84237451460545,5.852804779812679
borel_threshold,5.149562165589246,2.5996906947627334,35.3,-0.3926822587105338,-0.28105020116610924,-0.4562900710272707,-0.15807575071289495,43.76397756492519,7.754087003554149
borel_threshold,4.675171401076324,2.544904356000637,35.3,-0.3548345688000797,-0.26085083370933054,-0.4179340317698932,-0.13885918677189935,36.71556559343243,5.98341875820512
borel_threshold,5.185834710469626,2.590357702895226,35.3,-0.38685746723128306,-0.2776640722693185,-0.450160623783014,-0.1552786198324556,42.59609211637097,7.482099652090233
borel_threshold,4.014489350251724,2.5191618376278715,35.3,-0.33485366166567765,-0.2519351559397864,-0.39911149247141314,-0.12770400975129062,33.48291163699664,5.060684132684704
borel_threshold,3.820506011654164,2.5708657644223956,35.3,-0.36325852071694836,-0.26927010575708854,-0.4296731610117822,-0.1408691500437278,38.807101222533326,6.157890360059229
borel_threshold,5.2268079556730935,2.5683431217421853,35.3,-0.3728006921412921,-0.26956846023537107,-0.4354306758274088,-0.14848446842407892,39.85408041831558,6.841671544833206
borel_threshold,3.6167971867980295,2.575818971822421,35.3,-0.36344511098835125,-0.2705481628789724,-0.43082405408218727,-0.14028289832588478,39.015271726658725,6.1067427266340655
