scenario,ensemble,M2,s0_root,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,G2460,G2536,Gamma2460_keV,Gamma2536_keV,chi_effective,fperp_s_used_GeV
legacy_chi_condensate,theta_fixed,3.573078528310483,2.552867540115048,35.3,-0.4110680646911806,-0.26611223007901597,-0.37564495007841153,0.10910351767875191,0.00042920232064366684,-0.45472300946991595,-0.18171311858311864,43.718877734377614,10.241818209718351,3.1362302379951865,-0.027072393258725777
legacy_chi_condensate,theta_fixed,3.4607247061965,2.5432751329887977,35.3,-0.2890388039893235,-0.2784663599348028,-0.45405351784508885,0.17489639802721288,0.0006907598830731442,-0.3942901405435046,-0.07498152370485106,32.58303257973582,1.7450425734638353,3.2462062348857246,-0.034900720000971976
legacy_chi_condensate,theta_fixed,4.917646255260768,2.5945774168067115,35.3,-0.36990671434980094,-0.3035842086699678,-0.4614643057596776,0.1573568557339395,0.0005232413557703122,-0.4615198996479839,-0.1264663247815428,44.551490778896024,4.963130257734981,3.2560107503525404,-0.03544072833228185
legacy_chi_condensate,theta_fixed,4.012955844884647,2.5618126140919304,35.3,-0.3909917024271854,-0.23913690433056015,-0.382903901864057,0.1432143521553383,0.0005526453781585505,-0.42110615311780897,-0.18091594232137917,37.3660716030358,10.15125145431773,3.05782465493222,-0.03581636453874864
legacy_chi_condensate,theta_fixed,4.51298578562981,2.534454288710791,35.3,-0.4073385649989254,-0.25484636655710324,-0.3548636178408417,0.09966399304961951,0.00035325823411891974,-0.4433733949326645,-0.18517939882347803,41.2087629809575,10.641743186714447,3.3707640698294594,-0.026906944923376776
legacy_chi_condensate,theta_fixed,5.732234068710225,2.5991933661841444,35.3,-0.43748956216834306,-0.2514812263618575,-0.4347992406289589,0.18271481148118862,0.0006032027859127784,-0.4580499611205482,-0.21173133291078247,44.390353651776024,13.909369864950314,3.1755039799699976,-0.04411069545142889
legacy_chi_condensate,theta_fixed,4.1027332985657665,2.5819865990967874,35.3,-0.24835497466163842,-0.22992928261857107,-0.43631449095586955,0.2056584416535496,0.000726766683748872,-0.3311677462669807,-0.0698254414745978,23.029022935521386,1.5120313324156318,3.3383347100008622,-0.046258336472447856
legacy_chi_condensate,theta_fixed,5.99874670944661,2.5590199663379796,35.3,-0.3593087638288406,-0.2862343612269556,-0.4187821568940242,0.13209165034182097,0.000456145325247613,-0.4412359304562094,-0.1278426806104127,40.97369012747621,5.070526062665218,3.0347228598423355,-0.03265666932852069
legacy_chi_condensate,theta_fixed,5.252981412238116,2.5152313348107427,35.3,-0.41171387862888553,-0.3080472853255717,-0.42580791713276483,0.11734738666892626,0.0004132451382668786,-0.4893209729065542,-0.15800770021071156,50.67658501357398,7.749921035747034,3.1582706167786343,-0.02747949095645279
legacy_chi_condensate,theta_fixed,5.5459202677030195,2.5112157495820373,35.3,-0.41306775689842307,-0.20500395735901575,-0.3551640860888863,0.1496577513162749,0.0005023774135956338,-0.4060057884266291,-0.21865702386619826,34.52536066077819,14.831916351130388,3.30969502039972,-0.04236226457961746
legacy_chi_condensate,theta_fixed,5.765711062915544,2.5244286230687814,35.3,-0.3388277157300148,-0.21705761968601553,-0.34786498769651064,0.13034250570468942,0.00046486230580569215,-0.37294306152611667,-0.15110163490216058,29.21206164295136,7.086027724923836,2.997947114259551,-0.03804420239017407
legacy_chi_condensate,theta_fixed,3.819941120718528,2.585468372781639,35.3,-0.27900136461224034,-0.219132476228801,-0.3866837302175256,0.16686930180916748,0.0006819521795571235,-0.34006531681225705,-0.10107612920486006,24.308054167439686,3.1714974972729753,2.921077370500818,-0.040426233705185076
legacy_chi_condensate,theta_fixed,5.275277876644372,2.532847834050467,35.3,-0.3199717565570925,-0.25638149982372505,-0.40771487147651975,0.15081585223273286,0.0005175194200618138,-0.39414069852117073,-0.11298897386620338,32.58977568554371,3.9621560633766486,3.2431403282108926,-0.03713559423932467
