fB_scheme,M2,s0_root,s0,GA_stage1_full,GB_hard_candidate,GB_soft2p_tensor_DA,GB_stage1_candidate,hard_qcd_side,G2460_candidate,G2536_candidate,Gamma2460_keV_candidate,Gamma2536_keV_candidate,fB
fB_converted_fT_M_over_msum,4.75,2.6,6.760000000000001,-0.3912418119815989,-0.4278650119279473,0.1467470631991784,-0.2811179487287689,-0.12149622808644521,-0.4555129892349603,-0.1568609995452869,43.615040590090395,7.635370572876889,0.4619457079970653
fB_equal_fT,5.0,2.6,6.760000000000001,-0.3931206247492227,-0.7681522151388916,0.26026224454861424,-0.5078899705902774,-0.12736062362555525,-0.6416758469371777,-0.02735242744013161,86.54981315511786,0.23216241509065033,0.256
fB_converted_fT_M_over_msum,5.0,2.6,6.760000000000001,-0.3931206247492227,-0.4256928112357427,0.14423152645649978,-0.2814612847792429,-0.12736062362555525,-0.4568788849743423,-0.1581959699151751,43.8769998222542,7.765885709209213,0.4619457079970653
fB_equal_fT,5.25,2.6,6.760000000000001,-0.394799554462946,-0.7647453831219625,0.25629284828478593,-0.5084525348371766,-0.13293132161474808,-0.6431051591017863,-0.02839758305132739,86.93581639246224,0.250243566113077,0.256
fB_converted_fT_M_over_msum,5.25,2.6,6.760000000000001,-0.394799554462946,-0.4238048209779364,0.14203177565040176,-0.28177304532753467,-0.13293132161474808,-0.4581035068127862,-0.15938605435583478,44.112531586934224,7.883168381666445,0.4619457079970653
fB_equal_fT,5.5,2.6,6.760000000000001,-0.3963107091294053,-0.7617618058282912,0.25279438356680933,-0.508967422261482,-0.13822497927842572,-0.6443986103290578,-0.02933336155521582,87.28586899922554,0.26700772976909787,0.256
fB_converted_fT_M_over_msum,5.5,2.6,6.760000000000001,-0.3963107091294053,-0.42215138904003285,0.14009300459506446,-0.2820583844449684,-0.13822497927842572,-0.4592096150380804,-0.16045447909901334,44.32581151102943,7.989210306403313,0.4619457079970653
fB_equal_fT,5.75,2.6,6.760000000000001,-0.3976794151428595,-0.7591310096025017,0.24968928091121323,-0.5094417286912885,-0.14325791154402817,-0.6455766268410535,-0.03017633239580675,87.60529296776167,0.2825745687252329,0.256
fB_converted_fT_M_over_msum,5.75,2.6,6.760000000000001,-0.3976794151428595,-0.4206934604953078,0.13837222601422386,-0.2823212344810839,-0.14325791154402817,-0.46021505403852225,-0.16141964162892322,44.52012664620867,8.085612446855997,0.4619457079970653
fB_equal_fT,6.0,2.6,6.760000000000001,-0.39892595494542443,-0.7567968947346161,0.2469158993843361,-0.50988099535028,-0.14804584497211426,-0.6466554514025351,-0.030939846798175408,87.89833241929647,0.29705473646918146,0.256
fB_converted_fT_M_over_msum,6.0,2.6,6.760000000000001,-0.39892595494542443,-0.4193999461367276,0.1368352798783696,-0.28256466625835797,-0.14804584497211426,-0.4611340503915853,-0.16229632071081254,44.69810728273448,8.173677767900461,0.4619457079970653
