M2,s0_root,GA,GB,G2460,G2536,Gamma2460_keV,Gamma2536_keV,theta_deg
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4118532923788045,-0.1634860168617755,35.6549501739897,8.293949552561118,32.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.412421455923735,-0.1620473845711077,35.753392101738136,8.14862281515388,32.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4129845942433774,-0.16060677778419785,35.85109725676736,8.004383752256334,32.4
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4135427004760689,-0.1591642140543852,35.94806087706592,7.861239393876931,32.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4140957678214612,-0.15771971095885348,36.044278236763766,7.719196716669743,32.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4146437895406033,-0.15627328609841692,36.13974464636255,7.578262643594455,33.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4151867589560234,-0.15482495709730612,36.23445545296411,7.43844404357897,33.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.41572466945181064,-0.15337474160295292,36.32840604049739,7.2997477311846035,33.4
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4162575144736953,-0.15192265728577536,36.42159182994327,7.162180466273941,33.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4167852875291289,-0.1504687218389627,36.51400827955784,7.025748953681404,33.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4173079821873635,-0.1490129529782594,36.60565088509375,6.89045984288643,34.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4178255920795294,-0.14755536844174974,36.696515180019674,6.756319727689426,34.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.41833811089871353,-0.1460959859896412,36.78659673573806,6.623335145890352,34.4
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.41884553240003586,-0.14463482340404846,36.875891161800986,6.491512578970117,34.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4193478504007255,-0.1431718984887766,36.9643941061241,6.360858451774666,34.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.41984505878019607,-0.14170722906910382,37.05210125519874,6.231379132201816,35.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4203371514801205,-0.14024083299156498,37.139008334302225,6.1030809308909495,35.2
