M2,s0_root,s0,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,G_low_combo,G_high_combo,Gamma_low_combo_keV,Gamma_high_combo_keV,fB_effective,hard_qcd_side,f1_tensor_matched,chi_effective,fperp_s_used_GeV,state,m_initial,m_final,quoted_combo,mass_comment,scenario,mb_MSbar,ms_MSbar,f_Bs,f_Bs1_A_working,fT_Bs1_working,G_quoted,Gamma_quoted_keV
12.0,6.15,37.822500000000005,35.3,0.37187354736020073,0.47077503079558813,0.18852790662725014,0.28186603856900133,0.0003810855993366722,0.5991071637520571,0.03145903984250448,76.15489213482186,0.20998085943438174,0.22683827574263177,0.02829286271854813,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.03145903984250448,0.20998085943438174
12.5,6.15,37.822500000000005,35.3,0.3634267843582873,0.46180994088916905,0.1866144860984123,0.2748316432226948,0.0003638115680619466,0.5869093904789641,0.029745864597852445,73.08544548323063,0.18773358580305255,0.22683827574263177,0.031094710911566983,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.029745864597852445,0.18773358580305255
13.0,6.15,37.822500000000005,35.3,0.35598128633958037,0.45385434427477744,0.18490700765996343,0.26859877451321423,0.0003485621015997872,0.5761140912330025,0.028266515948064175,70.42158208367042,0.16952484101696252,0.22683827574263177,0.03393431488080759,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.028266515948064175,0.16952484101696252
13.5,6.15,37.822500000000005,35.3,0.3493762071553894,0.44675219168197206,0.18337523811789397,0.2630419408160249,0.00033501274805320633,0.5665009621652872,0.026979895565677592,68.09105852914122,0.1544433846072471,0.22683827574263177,0.03680136665812678,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.026979895565677592,0.1544433846072471
14.0,6.15,37.822500000000005,35.3,0.34348250709639905,0.44037735741765194,0.18199444243956264,0.25806001172691106,0.00032290325117823835,0.5578925007767275,0.025853571986696466,66.03737920901287,0.14181752159285813,0.22683827574263177,0.03968668402823045,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.025853571986696466,0.14181752159285813
8.0,6.25,39.0625,35.3,0.5299283250158416,0.6293398597988912,0.22389677522019616,0.40476255350920204,0.0006805310694929023,0.8198510395048374,0.06882558978040937,142.61285865702794,1.005052308212478,0.22683827574263177,0.009085525353144943,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.06882558978040937,1.005052308212478
8.5,6.25,39.0625,35.3,0.49783816785195895,0.5977294281772946,0.2179136874580225,0.37920140159029453,0.0006143391289775584,0.7755090360349792,0.060901935169977606,127.60347657898103,0.7869569357202431,0.22683827574263177,0.011138375137843576,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.060901935169977606,0.7869569357202431
9.0,6.25,39.0625,35.3,0.47203448562856765,0.5719751255084619,0.2129646202747131,0.3584495784844739,0.0005609267492748626,0.7395791270106873,0.05472490030285021,116.05345475637378,0.6354168688143057,0.22683827574263177,0.013364191188549236,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.05472490030285021,0.6354168688143057
9.5,6.25,39.0625,35.3,0.45093312037190414,0.5506583270204715,0.20881759049882415,0.3413236511730314,0.0005170853486159032,0.7099881016660101,0.04982135744860766,106.95249575242947,0.5266473395510555,0.22683827574263177,0.01574423138139026,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.04982135744860766,0.5266473395510555
10.0,6.25,39.0625,35.3,0.4334241454019373,0.5327723943186874,0.20530311904526302,0.3269887096447547,0.0004805656286697613,0.6852730249729049,0.04586714739278125,99.6359475351471,0.44636716891394634,0.22683827574263177,0.018259848843361435,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.04586714739278125,0.44636716891394634
10.5,6.25,39.0625,35.3,0.4187104988495144,0.5175858703149654,0.20229488966228307,0.31484122911412743,0.00044975153855489596,0.6643763390280111,0.04263443603762945,93.65200861103317,0.38566464458009125,0.22683827574263177,0.020892995880750897,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.04263443603762945,0.38566464458009125
