sector,scenario,ensemble,window_id,M2,s0,theta_deg,f1_GeV,f2_GeV,normalization_scheme,two_point_M2_GeV2,two_point_s0_mix_GeV2,two_point_s01_GeV2,two_point_s02_GeV2,T_A,T_B,T_A_pert,T_A_tw2,T_A_tw3,T_A_tw4,T_A_3p_g,T_A_3p_gamma,T_B_pert,T_B_tw2,T_B_tw3,T_B_tw4,T_B_3p_g,T_B_3p_gamma,chi_effective,fperp_s_used_GeV,transition_scheme,state,state_key,g_GeV_inv,g_A_component_GeV_inv,g_B_component_GeV_inv,interference,Gamma_keV,physical_normalization,two_point_matrix_theta_deg,two_point_offdiag_residual,mass_low_GeV,mass_high_GeV,g_low_GeV_inv,g_high_GeV_inv,quoted_combo
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,3.6127404333579323,7.720326473059978,39.367013276461634,0.4104112569414873,0.16993597656169415,AA_AB_BB_two_point_LO_d3_d5,2.2571287462523846,10.283238797687185,8.2,9.725,-0.026328995548985865,-0.06567212131111191,-0.08039745116622038,0.05170456091650011,0.0,0.005073193055039076,0.00015058415281496686,-0.0028598825071196373,-0.10284517206771704,0.048167599723856876,-0.007666453014951226,0.004726150422041217,-0.00031166336510816045,-0.007742583009233577,5.469599161168426,-0.05516094622714124,rohrwild_nonlocal_exact_post_borel,D_{s1}(2460),Ds1_2460,-0.3731793346826395,-0.09236737544469188,-0.2808119592379476,constructive,29.296130310760883,5.530947197259965,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,3.6127404333579323,7.720326473059978,39.367013276461634,0.4104112569414873,0.16993597656169415,AA_AB_BB_two_point_LO_d3_d5,2.2571287462523846,10.283238797687185,8.2,9.725,-0.026328995548985865,-0.06567212131111191,-0.08039745116622038,0.05170456091650011,0.0,0.005073193055039076,0.00015058415281496686,-0.0028598825071196373,-0.10284517206771704,0.048167599723856876,-0.007666453014951226,0.004726150422041217,-0.00031166336510816045,-0.007742583009233577,5.469599161168426,-0.05516094622714124,rohrwild_nonlocal_exact_post_borel,D_{s1}(2536),Ds1_2536,0.29085802042361275,-0.27795315594314873,0.5688111763667615,destructive,26.289402898973744,13.655332393349152,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,4.274985955675001,7.901348250883629,41.6380249348817,0.3922178844487702,0.17476025331742234,AA_AB_BB_two_point_LO_d3_d5,2.6166066090592204,9.88427029146304,7.875,9.425,-0.049087511227550285,-0.09463045624996641,-0.11120828257352554,0.059642106070840945,0.0,0.005427880142075724,0.000172670833666653,-0.0031218857006080716,-0.13360043103730918,0.054925608997132974,-0.012245919263588386,0.004998643441813493,-0.0003532817725531789,-0.008355076615462127,4.8844186056858145,-0.05125567684746704,rohrwild_nonlocal_exact_post_borel,D_{s1}(2460),Ds1_2460,-0.470870806986436,-0.14861362655121985,-0.3222571804352162,constructive,46.52504353103669,4.556626016258823,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,4.274985955675001,7.901348250883629,41.6380249348817,0.3922178844487702,0.17476025331742234,AA_AB_BB_two_point_LO_d3_d5,2.6166066090592204,9.88427029146304,7.875,9.425,-0.049087511227550285,-0.09463045624996641,-0.11120828257352554,0.059642106070840945,0.0,0.005427880142075724,0.000172670833666653,-0.0031218857006080716,-0.13360043103730918,0.054925608997132974,-0.012245919263588386,0.004998643441813493,-0.0003532817725531789,-0.008355076615462127,4.8844186056858145,-0.05125567684746704,rohrwild_nonlocal_exact_post_borel,D_{s1}(2536),Ds1_2536,0.27157818880822937,-0.38043509560176125,0.6520132844099906,destructive,22.884241288562094,10.370060191574467,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,4.381619167974533,8.409299722911936,29.727787641683076,0.4115781245293034,0.174272194974744,AA_AB_BB_two_point_LO_d3_d5,2.6293505578237517,10.05945259195503,7.925,10.15,-0.043310977355639164,-0.10644209859522728,-0.11184150526159364,0.06577619720430439,0.0,0.006065292594902062,0.00019071811554896125,-0.0035016800088009336,-0.14264885672823852,0.061781097011438676,-0.02131508905769983,0.005696900187836996,-0.00039797806463658976,-0.009558171943928025,4.685643833887286,-0.05517556790714648,rohrwild_nonlocal_exact_post_borel,D_{s1}(2460),Ds1_2460,-0.4889527507356373,-0.09218875111027315,-0.3967639996253642,constructive,50.16703945045813,4.292432321588884,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,4.381619167974533,8.409299722911936,29.727787641683076,0.4115781245293034,0.174272194974744,AA_AB_BB_two_point_LO_d3_d5,2.6293505578237517,10.05945259195503,7.925,10.15,-0.043310977355639164,-0.10644209859522728,-0.11184150526159364,0.06577619720430439,0.0,0.006065292594902062,0.00019071811554896125,-0.0035016800088009336,-0.14264885672823852,0.061781097011438676,-0.02131508905769983,0.005696900187836996,-0.00039797806463658976,-0.009558171943928025,4.685643833887286,-0.05517556790714648,rohrwild_nonlocal_exact_post_borel,D_{s1}(2536),Ds1_2536,0.15579419881152767,-0.3862179687666313,0.542012167578159,destructive,7.534327880006131,10.268786313693054,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,3.3850607329879097,7.8623603550707655,31.239123655450594,0.4188771531205579,0.15286406822702864,AA_AB_BB_two_point_LO_d3_d5,2.531562092242465,9.620939907231925,8.075,9.525,-0.02100919130791123,-0.06606985611071042,-0.0720548541348924,0.04799686947641013,0.0,0.006685782352200482,0.00019516695846849552,-0.003832155960097935,-0.09817143020829033,0.04566750225583064,-0.008918511055825548,0.006361310310064506,-0.00041255416465657503,-0.010596173247833114,4.044034653894229,-0.05416488779776148,rohrwild_nonlocal_exact_post_borel,D_{s1}(2460),Ds1_2460,-0.39013455635046473,-0.06308058731912915,-0.3270539690313356,constructive,31.89805405106918,5.789548543319245,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,3.3850607329879097,7.8623603550707655,31.239123655450594,0.4188771531205579,0.15286406822702864,AA_AB_BB_two_point_LO_d3_d5,2.531562092242465,9.620939907231925,8.075,9.525,-0.02100919130791123,-0.06606985611071042,-0.0720548541348924,0.04799686947641013,0.0,0.006685782352200482,0.00019516695846849552,-0.003832155960097935,-0.09817143020829033,0.04566750225583064,-0.008918511055825548,0.006361310310064506,-0.00041255416465657503,-0.010596173247833114,4.044034653894229,-0.05416488779776148,rohrwild_nonlocal_exact_post_borel,D_{s1}(2536),Ds1_2536,0.2653533172537001,-0.2924006211170223,0.5577539383707224,destructive,21.865281421852433,16.277870600927507,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,4.1723794090579975,7.620582822367038,44.08597252005707,0.4133907296242251,0.19090196516076072,AA_AB_BB_two_point_LO_d3_d5,2.497010455391118,10.943023063804722,8.175,9.775,-0.03542707047252786,-0.0704288424673823,-0.09781185171452922,0.05901302725133946,0.0,0.0070106030430927575,0.00021708030522601843,-0.00385592935765688,-0.11889790296028416,0.0540926058976182,-0.0013361219068420526,0.006426069042341018,-0.00044206972014018914,-0.010271422820075109,4.009097592176284,-0.054886674141650535,rohrwild_nonlocal_exact_post_borel,D_{s1}(2460),Ds1_2460,-0.3490374700084466,-0.11434639850560566,-0.23469107150284094,constructive,25.466378628203447,4.639190154209463,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,4.1723794090579975,7.620582822367038,44.08597252005707,0.4133907296242251,0.19090196516076072,AA_AB_BB_two_point_LO_d3_d5,2.497010455391118,10.943023063804722,8.175,9.775,-0.03542707047252786,-0.0704288424673823,-0.09781185171452922,0.05901302725133946,0.0,0.0070106030430927575,0.00021708030522601843,-0.00385592935765688,-0.11889790296028416,0.0540926058976182,-0.0013361219068420526,0.006426069042341018,-0.00044206972014018914,-0.010271422820075109,4.009097592176284,-0.054886674141650535,rohrwild_nonlocal_exact_post_borel,D_{s1}(2536),Ds1_2536,0.2402189208940504,-0.25953964374283683,0.4997585646368872,destructive,17.895802791461534,10.199165047525085,,,,,,,
