sector,state,label,M2,s0,combo,theta_deg,theta_reference_deg,sqrt_s0,f1_GeV,f2_GeV,g_GeV_inv,g_A_component_GeV_inv,g_B_component_GeV_inv,Gamma_keV,two_point_source_theta_deg,normalization_scheme,m_initial,m_sigma,quoted_combo,window_id
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,29.625,35.3,3.082207001484488,0.41752705048804734,0.17267974449850543,-0.00714288986191236,-0.5242139564115657,0.5170710665496533,0.01583244802579426,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,29.75,35.3,3.0,0.41756136767971025,0.1726394369190931,-0.4642580275359524,-0.11205103587562998,-0.35220699166032243,45.30577809223891,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,29.75,35.3,3.082207001484488,0.41756136767971025,0.1726394369190931,-0.004509826006419804,-0.5236846018265146,0.5191747758200947,0.006311313263800384,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,29.875,35.3,3.0,0.41759392567478465,0.1726051204197027,-0.4642092645311596,-0.11246971122166351,-0.35173955330949613,45.29626127305665,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,29.875,35.3,3.082207001484488,0.41759392567478465,0.1726051204197027,-0.0018754457680307812,-0.5231343483719317,0.521258902603901,0.0010914634176942418,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,30.0,35.3,3.0,0.41762472426492353,0.17257679922778052,-0.46416025527580096,-0.11288826159723024,-0.3512719936785707,45.28669740167624,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,30.0,35.3,3.082207001484488,0.41762472426492353,0.17257679922778052,0.0007599647138387677,-0.5225632312019741,0.5233231959158129,0.00017922022550128768,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,30.125,35.3,3.0,0.41765376325305426,0.17255447683464667,-0.4641109994942987,-0.11330669034149934,-0.35080430915279937,45.27708643954978,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,30.125,35.3,3.082207001484488,0.41765376325305426,0.17255447683464667,0.0033961186335118576,-0.5219712921392632,0.525367410772775,0.0035790343696509336,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,30.25,35.3,3.0,0.41768104245337717,0.1725381559936668,-0.46406149690281945,-0.11372500078988618,-0.35033649611293327,45.267428346618146,26.594403607486143,AA_AB_BB_two_point_projection,,,,
