sector,state,M2,s0,Pi,mass_sr,f,pc,d5frac,offdiag,accepted,rejection_reason
B,Bs1_lower,9.2,41.5,0.23520912566078875,5.730990438266719,0.5086653283310764,0.5622008592656831,0.0005835374779840016,0.4185839549067665,True,
B,Bs1_lower,9.2,42.0,0.24098551660626677,5.74958254440861,0.5148734807261984,0.5760076873123368,0.0005695501618513017,0.4098937240157704,True,
B,Bs1_lower,9.8,40.0,0.2691111482002425,5.683587469272417,0.4874083495686088,0.48241088998420445,0.0003893772634485665,0.44107356146093524,True,
B,Bs1_lower,9.8,40.5,0.27714289866026265,5.703810198690823,0.4946283418351666,0.49680867288343356,0.0003780929006525415,0.43140613556958973,True,
B,Bs1_lower,9.8,41.0,0.28504346778043393,5.723737421582455,0.5016290353766916,0.5109712990181472,0.00036761327409343564,0.4219619581834997,True,
B,Bs1_lower,9.8,41.5,0.292808723214716,5.743367785723377,0.5084159016209564,0.5248913607103493,0.00035786421012079235,0.41274021485153123,True,
B,Bs1_lower,9.8,42.0,0.3004351003273214,5.762700449006379,0.5149943392009394,0.5385624679641803,0.00034878002715244954,0.4037395058483535,True,
B,Bs1_lower,10.4,40.0,0.3255768155320978,5.692749567818762,0.48639461868163353,0.4486955824290056,0.00022090250189632537,0.43667727166635345,True,
B,Bs1_lower,10.4,40.5,0.33575604652432584,5.713593270841274,0.49393971535012704,0.4627241488405069,0.0002142053251311085,0.42673941589884035,True,
B,Bs1_lower,10.4,41.0,0.34579853613429773,5.734152766075345,0.5012721784350166,0.47656426432053356,0.00020798449268896548,0.4170244752741094,True,
B,Bs1_lower,10.4,41.5,0.35569812174211557,5.754426633505944,0.5083968041262785,0.49020743581862114,0.00020219598787373413,0.40753171811354877,True,
B,Bs1_lower,10.4,42.0,0.36544931592907665,5.774413942065349,0.5153183440331819,0.5036461008167603,0.0001968008420747368,0.3982598246128311,True,
B,Bs1_lower,11.0,40.0,0.38599061262138695,5.700987882367733,0.48561941409098636,0.41770403344862517,0.00010180730118725566,0.4327291583340055,True,
B,Bs1_lower,11.0,40.5,0.3985623130182192,5.722382777624219,0.4934643520155252,0.43130863882335585,9.859603196552738e-05,0.4225534679121412,True,
B,Bs1_lower,11.0,41.0,0.41099769841888534,5.7435036632049705,0.5011034170477738,0.44476572940923864,9.5612853078676e-05,0.41260045141574936,True,
B,Bs1_lower,11.0,41.5,0.4232883153611677,5.764349085720391,0.5085408087704459,0.45806615719813687,9.283663434240861e-05,0.40286944499242033,True,
B,Bs1_lower,11.0,42.0,0.43542648731373945,5.784918063083509,0.5157807048084464,0.4712016149463165,9.024867273699935e-05,0.3933591935359405,True,
B,Bs1_5830,7.0,42.0,0.0024061993428584954,5.729866216653032,0.09528035900601028,0.5822188878918414,0.03673053134371957,0.4401970303209864,True,
B,Bs1_5830,7.0,42.5,0.002464287061267359,5.749205297306969,0.09642357543775157,0.5962741518135771,0.03586472605859802,0.43335111625263606,True,
B,Bs1_5830,7.0,43.0,0.002521188002225839,5.76820477658544,0.09753044343572279,0.6100422557170091,0.03505529151498181,0.426720451766106,True,
B,Bs1_5830,7.0,43.5,0.0025768766755966256,5.786864135195108,0.09860169942911982,0.6235170318507245,0.03429771444597305,0.420301569011669,True,
B,Bs1_5830,7.0,44.0,0.0026313315861801493,5.805183152339093,0.09963808509606467,0.6366932791031756,0.03358792971827707,0.4140907150143134,True,
B,Bs1_5830,7.4,42.0,0.00310317482854541,5.749062312113587,0.09490137710967701,0.5413117247228215,0.03131004492273515,0.433601175858599,True,
B,Bs1_5830,7.4,42.5,0.0031836704833961018,5.7692520395213,0.09612435708321523,0.5553532287203083,0.030518404398816465,0.4263871697329524,True,
B,Bs1_5830,7.4,43.0,0.003262826558863313,5.789118262496807,0.09731199742193422,0.5691610591200963,0.029778028813982078,0.419389204024266,True,
B,Bs1_5830,7.4,43.5,0.0033405958906441045,5.808659940728651,0.09846488179153165,0.5827269886737768,0.02908479399048895,0.41260400256434,True,
B,Bs1_5830,7.4,44.0,0.0034169364323655654,5.827876331641858,0.09958360460629455,0.5960436828946076,0.028434987073374645,0.40602800193272137,True,
B,Bs1_5830,7.8,42.0,0.003904580285450354,5.765962347966835,0.09463052993222448,0.5028195011119817,0.027080798242022197,0.42753615227125075,True,
B,Bs1_5830,7.8,42.5,0.00401245729570092,5.786914221052071,0.09592886481069833,0.5167115613361667,0.02635271683597752,0.41999108163863363,True,
