input_set,s0_window_label,M2,s0,theta_deg,gA_star,width_A_keV,g1_2460_axial_only,Gamma2460_axial_only_keV,g2_2536_axial_only,Gamma2536_axial_only_keV,qcd_side,pert,heavy_local,twist2_chi_phi,twist4_2p,twist3_2p_f3g,twist4_3p_F2,twist3_3p_F3,F2_integral,F3_integral
project_inputs_printed_chi_sign_diagnostic,rounded_final,4.0,8.0,35.3,0.9538298881536543,28.984367491598693,0.3594638303702969,4.116540279014757,0.46214431638373155,11.491029692314184,0.08151191868706914,0.017605204487746134,-0.00624823012167493,0.047146967971828116,-0.0011797755278833172,0.012338262778749623,-0.0004887736804460593,0.012338262778749567,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,4.25,8.0,35.3,0.9421607421529481,28.279516631342926,0.35506615320515406,4.016432972626853,0.45649044710551323,11.211587259554527,0.08698390584455688,0.018777328891126103,-0.006398381263508861,0.05001293652469594,-0.0010840342558814872,0.013088280746862538,-0.0005005055455998397,0.013088280746862496,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,4.5,8.0,35.3,0.9322639653226202,27.688521706946744,0.35133641758674516,3.9324961949250334,0.45169531621324516,10.977283708641714,0.0921907204615569,0.01989418978443245,-0.006534908578693237,0.05273555084357062,-0.0009945079491838938,0.01380078321216495,-0.0005111700628989166,0.013800783212164925,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,4.75,8.0,35.3,0.9237852166361233,27.187169170403987,0.3481410852560557,3.8612909871086933,0.44758724037689707,10.778519430435546,0.09714339229850305,0.02095783522068371,-0.006659559051807978,0.055321656109526635,-0.0009107585981003286,0.014477561544208248,-0.0005209044702154618,0.01447756154420824,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,5.0,8.0,35.3,0.916455804764584,26.757468720450113,0.34537889621330614,3.8002622546149234,0.4440360347783558,10.608162060013306,0.10185405766384781,0.021970608669877042,-0.006773798208949616,0.05777843284933845,-0.0008323515568072016,0.015120494871811194,-0.0005298238332332555,0.015120494871811201,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,5.25,8.0,35.3,0.9100688077066583,26.385810093144205,0.34297186907406435,3.747476983044254,0.4409414427282013,10.460815725027215,0.10633531870616623,0.022935001238386835,-0.006878863480894348,0.06011312077614847,-0.0007588701914424366,0.015731477812741097,-0.0005380252615144836,0.015731477812741118,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,5.5,8.0,35.3,0.9044626454885495,26.061730164463263,0.34085911021671766,3.701449134397151,0.43822517640230607,10.332332255990497,0.11059981396524608,0.0238535508344645,-0.006975806165083423,0.06233283768141507,-0.0006899233208611963,0.016312373078115873,-0.000545591220920655,0.01631237307811591,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,5.75,8.0,35.3,0.8995095556987905,25.777069135060817,0.33899247063023835,3.661019803181259,0.43582533307247884,10.219476650566074,0.11465993625068276,0.02472877444516343,-0.007065524641686506,0.06444446429653236,-0.0006251483775828616,0.016864981340931125,-0.0005525921536059628,0.016864981340931173,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,6.0,8.0,35.3,0.8951073638884968,25.525381028748406,0.33733344447703606,3.6252734917365017,0.43369240774687773,10.119693362085608,0.11852765308108644,0.02556312372359376,-0.007148790845009814,0.06645457475295832,-0.0005642120611516513,0.017391023037621238,-0.0005590885645467183,0.017391023037621304,-0.1562500000000002,-4.453125000000227
project_inputs_printed_chi_sign_diagnostic,rounded_final,3.0,8.5,35.3,1.055975706763539,35.524651652305174,0.3979588782502641,5.045432144312641,0.5116354364452966,14.083965332832621,0.05823844227209835,0.012651516698770807,-0.005462175903188852,0.03486157878643394,-0.0016315795387013901,0.009123202158113894,-0.00042730208744382877,0.009123202158113778,-0.1562500000000002,-4.453125000000227
